mr. ehrlich predicted unprecedented famine by 1980	mr. ehrlich predicted unprecedented famine
manville advanced 3\/4 to 10	manville advanced 3\/4
turnover was 382.9 million shares compared with 449.3 million wednesday	turnover was 382.9 million shares
prudential insurance is based in newark n.j	prudential insurance is based
in kalamazoo mich. upjohn declined comment	upjohn declined comment
neither could be reached for comment	neither could be reached
newly acquired assets would get a bigger break than those currently held	newly acquired assets would get a bigger break
skilled workers aplenty are available to cope with earthquake damage	skilled workers aplenty are available to cope
as usual the green lobby 's proposal is disconnected from scientific reality	the green lobby 's proposal is disconnected
conspicuous by its absence is california	conspicuous is california
satisfying its interests was a priority for any panamanian leader	satisfying its interests was a priority
mochida advanced 40 to 4,440	mochida advanced 40
dow jones is the publisher of the wall street journal	dow jones is the publisher
sales declined slightly to 5.17 billion	sales declined slightly
the nasdaq composite closed down 1.05 or 0.2 % to 459.93	the nasdaq composite closed down 1.05 or 0.2 %
the battle for customer loyalty is evident along the cobb parkway strip	the battle is evident
the district built on landfill suffered heavy quake damage including collapsed buildings	the district built suffered heavy quake damage
the case for owning stocks over the long-term is compelling	the case is compelling
the suit is still pending in illinois state court	the suit is still pending
sierra tucson cos. tucson ariz. started trading under stsn	sierra tucson cos. tucson ariz. started trading
but it 's just one of those things that happened	but it 's just one
clearly the judge has had his share of accomplishments	clearly the judge has had his share
no other computer vendor offers graphics performance that good for their price	no other computer vendor offers graphics performance that good
chevrolet already is offering an 800 rebate on the 1990-model corsica	chevrolet already is offering an 800 rebate
in either case the investor faces three possible outcomes	the investor faces three possible outcomes
this perhaps was perceived as a bold stance and thus suspicious	this perhaps was perceived
the price paid was a record for the artist	the price paid was a record
at that point perhaps diversification would be appropriate	perhaps diversification would be appropriate
for the future he said he would run for governor of florida	he said he would run
december palladium was off 1.55 an ounce at 137.20	december palladium was off 1.55 an ounce
to the amazement of some traders takeover stocks were climbing again	takeover stocks were climbing again
some estimates have gone as high as 80,000 members	some estimates have gone as high
it 's a baptism of fire for corry says one usx executive	it 's a baptism says one usx executive
their recovery came surprisingly fast and always with the help of neighbors	their recovery came surprisingly fast and always
university of michigan students look for jobs related to planned careers	university students look
the government has other agencies and instruments for pursuing these other objectives	the government has other agencies and instruments
a.p. green industries advanced 1 5\/8 to 36 1\/8	a.p. green industries advanced 1 5\/8
the initial coupon on the floating-rate notes will be 12.9375 %	the initial coupon will be 12.9375 %
health care property holds an interest in 139 facilities in 30 states	health care property holds an interest
tvx owns five stations including wtxf a fox affiliate in philadelphia	tvx owns five stations
a total of 157 lawsuits were filed on behalf of crash victims	a total were filed
california struggled with the aftermath of a bay area earthquake	california struggled
but london 's problems were nothing compared with the continent 's	but london 's problems were nothing
in such an environment a market maker can absorb huge losses	a market maker can absorb huge losses
he had been vice president in that office	he had been vice president
and national geographic 's smaller-than-average size means extra production costs for advertisers	and national geographic 's smaller-than-average size means extra production costs
why does n't he just follow through on one of these things	why does n't he just follow through
revenue climbed 13 % to 45.4 billion francs from 40.1 billion	revenue climbed 13 %
right away you notice the following things about a philip glass concert	right away you notice the following things
the ambitious warsaw project still awaits approval by city officials	the ambitious warsaw project still awaits approval
what that will mean for manufacturers is anybody 's guess	what that will mean is anybody 's guess
j.p. morgan securities inc. is offering the remaining 10 million of notes	j.p. morgan securities inc. is offering the remaining 10 million
consider the facts underlying the 1989 conviction of robert chestman	consider the facts underlying the 1989 conviction
after 25 years in city politics david dinkins remains an enigma	david dinkins remains an enigma
show it 's business as usual	show it 's business
this leads to a very special sense of urgency	this leads
there 's nothing on the other side	there 's nothing
your sept. 25 criticism of credit-card foreign-exchange charges is unwarranted	your sept. 25 criticism is unwarranted
it has purchased about 19 million of them	it has purchased about 19 million
a similar proposal may be introduced soon by senate democrats	a similar proposal may be introduced soon
the fact of the matter is i am a marketer	the fact is i am a marketer
the struggle over capital gains is the most important game in town	the struggle is the most important game
and some even do it with malice aforethought	and some even do it
in the 1988 third quarter profit from continuing operations totaled 140.1 million	profit totaled 140.1 million
the companies reached an agreement in principle for the sale in august	the companies reached an agreement
the dax index closed at 1466.29 up only 3.36	the dax index closed up only 3.36
that may just be the nature of these highly leveraged little creatures	that may just be the nature
that could change thanks to lower long-distance rates and cheaper electronics	that could change thanks
moreover both men have hewn to a similar hard-line philosophy	moreover both men have hewn
on average something that cost 100 30 years ago now costs 425	something that cost 100 30 years ago now costs 425
sterling was quoted at 1.6145 up from 1.6055 late tuesday	sterling was quoted
but both the traders and the pilots remain interested in some transaction	but both the traders and the pilots remain interested
sales for the quarter rose to 1.11 billion from 1.03 billion	sales rose
executives of the two agencies could n't be reached last night	executives could n't be reached last night
tokyu is one of the potential buyers who might raise its hand	tokyu is one who might raise its hand
and before last friday they were actually making modest progress	and they were actually making modest progress
this cuts down greatly on labor mr. buchner said	this cuts down greatly mr. buchner said
after all gold prices usually soar when inflation is high	gold prices usually soar when inflation is high
revenue advanced 26 % to 9.6 billion from 7.6 billion	revenue advanced 26 %
sales rose to 52.4 million from 50.1 million	sales rose
a simultaneous announcement was made in moscow	a simultaneous announcement was made
ms. bartlett would not discuss her garden for this article	ms. bartlett would not discuss her garden
federal prosecutors are concluding fewer criminal cases with trials	federal prosecutors are concluding fewer criminal cases
january platinum was down 3.60 an ounce at 491.10	january platinum was down 3.60 an ounce
in the year 2000 it will be one car per family	it will be one car
mexican officials maintain the japanese reserve is only a result of unfamiliarity	mexican officials maintain the japanese reserve is only a result
pioneer surged 450 yen 3.16 to 6,050 yen 42.60	pioneer surged 450 yen 3.16
syms operates 25 off-price apparel stores in the u.s.	syms operates 25 off-price apparel stores
but phillips persisted calling in scientists from the salk institute	but phillips persisted calling in scientists
the censorship is enforced through terrorism and assassination	the censorship is enforced
it might even have saved the life and business of israel ortiz	it might even have saved the life and business
apparently the commission did not really believe in this ideal	apparently the commission did not really believe
officials for sun valley calif.-based verit could n't be reached for comment	officials could n't be reached
the program is aimed at improving the quality of printed material	the program is aimed
disaster states are n't jumping to raise taxes for relief and recovery	disaster states are n't jumping to raise taxes
writes bilanz no one in switzerland ever came so far so fast	writes bilanz no one ever came so far so fast
share earnings are reported on a fully diluted basis by company tradition	share earnings are reported
the carrier also seemed eager to place blame on its american counterparts	the carrier also seemed eager to place blame
santa fe pacific was the kind of story wall street loved	santa fe pacific was the kind wall street loved
ashurst is new to the far east	ashurst is new
hyundai motor co. of south korea has its first-ever exhibit in tokyo	hyundai motor co. has its first-ever exhibit
during the summer wang executives had said they might seek outside investment	wang executives had said they might seek outside investment
he added though that a lot of this is intentions	he added though that a lot is intentions
now because of various difficulties the product has been scrapped	now the product has been scrapped
these accounts hold several hundred million dollars primarily from asset sales	these accounts hold several hundred million dollars
operating profit rose threefold to 18 million from 6 million	operating profit rose threefold
he charges the city 's critics with spreading unfounded emotional rhetoric	he charges the city 's critics
nissan created its quake ad in a weekend	nissan created its quake ad
airborne freight climbed 1 1\/8 to 38 1\/2	airborne freight climbed 1 1\/8
who is going to be in the space next door	who is going to be
but by comparison this fluffy comedy seems like a gem	but this fluffy comedy seems
senators are focusing on making a capital-gains differential permanent	senators are focusing
by late yesterday both sides appeared prepared to bury the hatchet	both sides appeared prepared to bury the hatchet
the dollar also moved higher in tokyo	the dollar also moved higher
the bond market was unmoved by the economic statistics	the bond market was unmoved
sales slipped 1.3 % to 2.82 billion from 2.86 billion	sales slipped 1.3 %
yesterday bank stocks lagged behind the overall otc market	yesterday bank stocks lagged
for instance the documents could involve foreign business dealings or bank accounts	the documents could involve foreign business dealings or bank accounts
the index of smaller banks improved 1.97	the index improved 1.97
transcanada transports all gas that moves eastward from alberta	transcanada transports all gas that moves eastward
chairman antonio asensio will retain a 70 % share in zeta	chairman antonio asensio will retain a 70 % share
rainbow 's stock dropped 2 to 14 1\/4	rainbow 's stock dropped 2
just wait for that tap-tap that thump-thump	just wait
