yet these figures show only the most visible part of the problem	yet these figures showed only the most visible part of the problem
japan is a major target for the soviets	japan was a major target for the soviets
for the fourth quarter bristol-myers squibb will report one set of earnings	for the fourth quarter bristol-myers squibb reported one set of earnings
there are n't too many winners	there were n't too many winners
i see a possibility of going to 2200 this month	i saw a possibility of going to 2200 this month
it 's hard to think someone is raping your garden he says	it was hard to think someone was raping your garden he said
the perception lingers says an official at a major industrial company	the perception lingered said an official at a major industrial company
but it 's like kicking your father in the pants	but it was like kicking your father in the pants
a big pension-insurance case will be reviewed by the supreme court	a big pension-insurance case bed reviewed by the supreme court
the acceptances give orkem a controlling 53.2 % stake in the company	the acceptances gave orkem a controlling 53.2 % stake in the company
