mr. locke teaches english and comparative literature at columbia university	english and comparative literature is taught by mr. locke at columbia university
promises feng-hsiung hsu in three years we 'll mount a better challenge	promises feng-hsiung hsu in three years a better challenge 'll be mounted by us
expenses unrelated to interest rose 5.4 % to 541 million	5.4 % was risen by expenses unrelated to interest to 541 million
we designed a comprehensive program and we worked hard on it	a comprehensive program was designed by us and we worked hard on it
the pay 's the same and the duty 's lighter	the same are had by the pay and the duty 's lighter
the airline also named mickey foret as president	mickey foret also was named by the airline as president
the bank made a 4.5 million provision in the 1988 quarter	a 4.5 million provision was made by the bank in the 1988 quarter
pravda meanwhile has retained only 57 % of its 1986 readership	only 57 % of its 1986 readership meanwhile has been retained by pravda
the stock slid 1.875 on more than four times average daily volume	1.875 were slid by the stock on more than four times average daily volume
texas is big and beautiful and they live here that 's all	texas is big and beautiful and they live here all are had by that
the index advanced 266.66 points thursday	266.66 points were advanced by the index thursday
currently the company has about 88.1 million common shares outstanding	currently about 88.1 million common shares outstanding are had by the company
one of their pastors has envisioned a new utopia of creative socialism	a new utopia of creative socialism has been envisioned by one of their pastors
those activities generated 26.1 million in operating profit last year	26.1 million in operating profit were generated by those activities last year
the successful launch continues a remarkable recovery in the u.s. space-science program	a remarkable recovery in the u.s. space-science program is continued by the successful launch
japanese reverse tack on patent protection	tack is reversed by japanese on patent protection
meanwhile the treasury sold 9.75 billion of 52-week bills yesterday	meanwhile 9.75 billion of 52-week bills were sold by the treasury yesterday
logic plays a minimal role here	a minimal role is played by logic here
so we did it over he adds	so it was done by us over he adds
i tell people it 's the groundup bones of saints he says	people is told by me it 's the groundup bones of saints he says
yesterday it provided the details	the details it were provided by yesterday
b.a.t said it purchased 2.5 million shares at 785	b.a.t said 2.5 million shares were purchased by it at 785
most investment-grade bonds fell 3\/8 to 1\/2 point	3\/8 to 1\/2 point was felled by most investment-grade bonds
sales rose 2.8 % to 864.1 million from 840.4 million	2.8 % was risen by sales to 864.1 million from 840.4 million
revenue rose 6.9 % to 3.1 billion from 2.9 billion	6.9 % was risen by revenue to 3.1 billion from 2.9 billion
some people must drop names call it an irresistible impulse	names must be dropped by some people call it an irresistible impulse
they value mccaw 's bid at 112 to 118 a share	mccaw 's bid is valued by them at 112 to 118 a share
the yale political union does n't pay an honorarium to speakers	an honorarium is n't paid by the yale political union to speakers
the local american legion color guard led the way	the way was led by the local american legion color guard
he owns 43 % of centrust 's shares	43 % of centrust 's shares is owned by him
the union will keep a 2 % commission on construction projects	a 2 % commission on construction projects will be kept by the union
i believe that number reflects a slowing economy	i believe a slowing economy is reflected by that number
first interstate made the move under pressure from regulators	the move was made by first interstate under pressure from regulators
but he may not have a choice	but a choice may not be had by him
food prices declined 0.6 % after climbing 0.3 % in august	0.6 % was declined by food prices after climbing 0.3 % in august
mcgill a valparaiso ind. ball-bearing manufacturer had rebuffed broadbeach 's proposal	broadbeach 's proposal had been rebuffed by mcgill a valparaiso ind. ball-bearing manufacturer
and those who did n't move some production overseas suffer labor shortages	and labor shortages are suffered by those who did n't move some production overseas
for years costume jewelry makers fought a losing battle	for years a losing battle was fought by costume jewelry makers
gaf faces potential fines of 500,000 for each count	potential fines of 500,000 for each count are faced by gaf
it 's an experience they do n't want to repeat	an experience they do n't want to repeat is had by it
ortega cited renewed attacks by the u.s.backed rebels	renewed attacks by the u.s.backed rebels were cited by ortega
judge merhige will make the appointment	the appointment will be made by judge merhige
the country 's narcotics traffickers claimed responsibility for the slaying	responsibility for the slaying was claimed by the country 's narcotics traffickers
but this devastated the u.s. manufacturing sector laying the seeds of protectionism	but the u.s. manufacturing sector was devastated by this laying the seeds of protectionism
sales fell 1.2 % to 190.1 million from 192.5 million	1.2 % was felled by sales to 190.1 million from 192.5 million
he shut down the company 's tony new york headquarters	the company 's tony new york headquarters was shut down by him
messrs. lee and bynoe will manage the nuggets ' day-today affairs	the nuggets ' day-today affairs will be managed by messrs. lee and bynoe
it 's an inherited human disorder that 's been duplicated in mice	an inherited human disorder that 's been duplicated in mice is had by it
dentsu has u.s. subsidiaries but they keep low profiles	u.s. subsidiaries are had by dentsu but low profiles are kept by them
european investors have further reason for optimism today after the u.s. rebound	further reason for optimism is had by european investors today after the u.s. rebound
our view is that we may see a profit decline	our view is that a profit decline may be seen by us
this untried concept would expose these firms to potentially astronomical punitive damages	these firms would be exposed by this untried concept to potentially astronomical punitive damages
he pampers them he invites them to fabulous parties he strokes them	they are pampered by him they are invited by him to fabulous parties they are stroked by him
the imf has several reasons for requesting the increase	several reasons for requesting the increase are had by the imf
ms. malcolm had mr. masson describing himself as an intellectual gigolo	ms. malcolm had himself being described by mr. masson as an intellectual gigolo
the southfield mich.-based company earned 774,000 in the quarter last year	774,000 were earned by the southfield mich.-based company in the quarter last year
some have raised their cash positions to record levels	their cash positions have been raised by some to record levels
repeat customers also can purchase luxury items at reduced prices	luxury items also can be purchased by repeat customers at reduced prices
loews the parent of cna financial rose 1 3\/8 to 123 1\/8	1 3\/8 were risen by loews the parent of cna financial to 123 1\/8
london had some problems too	some problems were had by london too
they carry a 7 % coupon	a 7 % coupon is carryed by them
microsoft earned 3.03 a share in fiscal 1989	3.03 a share was earned by microsoft in fiscal 1989
mccaw 's bid also has a similar clause	a similar clause also is had by mccaw 's bid
these bacterial cousins ordinarily do n't make the toxin	the toxin ordinarily is n't made by these bacterial cousins
the city could lose some of its entrepreneurial flavor	some of its entrepreneurial flavor could be lost by the city
