first its position in the government is anomalous	first its position is anomalous
the jewelery chain was put up for sale in june	the jewelery chain was put up
it will continue to trade on the international stock exchange london	it will continue to trade
mr. marous said westinghouse would own 70 % of the facility	mr. marous said westinghouse would own 70 %
sales rose 14 % to 715 million from 625.4 million	sales rose 14 %
the wall behind me was slightly deformed but the center had held	the wall was slightly deformed but the center had held
they ca n't take the hit to their earnings he said	they ca n't take the hit he said
the trade report drew yet another unsettling parallel to october 1987	the trade report drew yet another unsettling parallel
ogden gained 1 1\/4 to 32 7\/8	ogden gained 1 1\/4
mr. roberts also takes a swipe at the bank 's adjustment lending	mr. roberts also takes a swipe
it says it may pull its clients ' ads from those magazines	it says it may pull its clients ' ads
the market 's pessimism reflects the gloomy outlook in detroit	the market 's pessimism reflects the gloomy outlook
the board expanded to 17 seats	the board expanded
here is the commerce department 's latest report on personal income	here is the commerce department 's latest report
qintex australia is a unit of qintex ltd	qintex australia is a unit
it valued the transaction at 800 million	it valued the transaction
disaster states are n't jumping to raise taxes for relief and recovery	disaster states are n't jumping to raise taxes
for instance the documents could involve foreign business dealings or bank accounts	the documents could involve foreign business dealings or bank accounts
and that they say will be good for bonds	and that they say will be good
but otherwise it would undoubtedly come back with an offer by management	but otherwise it would undoubtedly come back
the program traders were in there too of course	the program traders were too
the yield on the issue slipped to 7.91 %	the yield slipped
national semiconductor is getting ferroelectric technology from krysalis corp. in albuquerque n.m	national semiconductor is getting ferroelectric technology
the day was saturated with the weight of its own impending history	the day was saturated
volume on the new york stock exchange totaled 135.9 million shares	volume totaled 135.9 million shares
it also adds to the mystery of the venture	it also adds
yesterday bank stocks lagged behind the overall otc market	yesterday bank stocks lagged
ac&r advertising is a unit of saatchi & saatchi co	ac&r advertising is a unit
an early battleground was the u.s. department of agriculture	an early battleground was the u.s. department
california a trend-setter in franchising rules stirs a controversy	california a trend-setter stirs a controversy
the plan is subject to approval by the bankruptcy court and others	the plan is subject
thomas f. o'boyle contributed to this article	thomas f. o'boyle contributed
what are the facts on this type of lending	what are the facts
the resignation came as a great surprise	the resignation came
however about 120 employees will be affected by the agreement	however about 120 employees will be affected
about 10 % of the school districts approached have rejected the network	about 10 % approached have rejected the network
signs of revival seem evident in hong kong 's hard-hit hotel sector	signs seem evident
the accident was caused by faulty operation of a valve	the accident was caused
beatrice e. garcia in philadelphia contributed to this article	beatrice e. garcia contributed
earlier this month mr. icahn boosted his usx stake to 13.4 %	earlier this month mr. icahn boosted his usx stake
the company said it expects consumers will adjust to higher-priced soft drinks	the company said it expects consumers will adjust
in that case there will be plenty of blame to go around	there will be plenty to go around
even without portfolio insurance market conditions were grim friday money managers said	market conditions were grim friday money managers said
the executive branch bears the first responsibility for timidity	the executive branch bears the first responsibility
pershare net fell to 4.97 yen from 5.40 yen	pershare net fell
i thought this was all taken care of in the music man	i thought this was all taken care
the index of smaller banks improved 1.97	the index improved 1.97
showbiz pizza time gained 1 1\/2 to 13	showbiz pizza time gained 1 1\/2
just wait for that tap-tap that thump-thump	just wait
but five weeks after the premiere the series has floundered	but the series has floundered
ibm based in armonk n.y. has dominated the market for decades	ibm based has dominated the market
it ended with a gain of 88.12 points	it ended
that 's antithetical to the art of selling	that 's antithetical
the system currently has a capacity of 1.55 million barrels a day	the system currently has a capacity
tokyu is one of the potential buyers who might raise its hand	tokyu is one who might raise its hand
it expects to be fully operational by next week	it expects to be fully operational
we 're very pleased with the new deal	we 're very pleased
the ambitious warsaw project still awaits approval by city officials	the ambitious warsaw project still awaits approval
the real tragedies occurred elsewhere as we soon found out	the real tragedies occurred elsewhere as we soon found
comparable store sales for the quarter were up 7.3 %	comparable store sales were up 7.3 %
