the notion that tracking is somehow undemocratic is absurd	the notion is absurd
but they disagree about the message these settlements give to the public	but they disagree about the message
but some militant sci tv junk-holders say that 's not enough	but some militant sci tv junk-holders say
they contend that sci tv 's equity now is worthless	they contend
bus schedules were sometimes in disarray stranding commuters such as marilyn sullivan	bus schedules were sometimes in disarray
it 's worse than i thought she said	it 's worse she said
i do n't know where all the buses are	i do n't know
i think a lot of people got scared and stayed home	i think
he succeeds paul j. montle 42 who will remain chairman	he succeeds paul j. montle 42
i think it 's more an issue of style	i think
reebok added that mr. fireman will assume the title of president	reebok added
there should be no great rush for investors to buy this	there should be no great rush
i do n't think the bush administration has done anything he says	i do n't think he says
many companies have set up machinery to assure workers a fair shake	many companies have set up machinery
japanese companies fare best in u.s. when they give americans more say	japanese companies fare best in u.s.
but they think promotions are limited	but they think
some consultants had insisted it would n't work	some consultants had insisted
i can tell you that nobody quit over it	i can tell you
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the atlanta-based chemical manufacturer said
if one city is down the other can take over	the other can take over
in congress lawmakers already are looking for ways to add relief funds	in congress lawmakers already are looking for ways
digital also said it has dispatched teams of technicians to california	digital also said
the protesters point out that galileo also could crash to earth then	the protesters point out
the earthquake caused many streets to buckle and crack making them impassible	the earthquake caused many streets to buckle and crack
but many predicted that the commercial disruption would be short-lived	but many predicted
you certainly can say it 's going to be extremely severe	you certainly can say
now we realize what our mothers must have gone through she says	now we realize she says
but the man who built it has fallen	but the man has fallen
but u.s. officials have strong doubts that he is a reformer	but u.s. officials have strong doubts
food companies probably wo n't cut their prices much blaming other costs	food companies probably wo n't cut their prices much
never mind that her husband prefers crest	never mind
they 're buying whatever 's cheaper	they 're buying
consider for example what happened to maxwell house coffee	consider for example
in addition power failures prevented its package-sorting facilities from operating causing delays	in addition power failures prevented its package-sorting facilities from operating
the transit system is how people are going to be getting around	the transit system is
there 's no question it will make lbos more expensive he said	there 's no question he said
the interest deduction was the engine that made these things more productive	the interest deduction was the engine
this is indeed what the market decided	this is indeed
but this is not where the rewards of junk financing were found	but this is not
but when the dow jones industrial average rose instead bonds drifted lower	but bonds drifted lower
i think this is a market that required some level of security	i think
treasury bonds ended narrowly mixed in quiet trading	treasury bonds ended in quiet trading
investment-grade corporate bonds ended 1\/4 point lower	investment-grade corporate bonds ended
mortgage securities ended little changed after light dealings	mortgage securities ended after light dealings
traders said today may be an anxious day for the market	traders said
he added b.a.t has no expectation of a material impact on farmers	he added
michael maynard offered the world a faster way to break eggs	michael maynard offered the world a faster way
mr. maynard claims this is a manageable problem	mr. maynard claims
mr. maynard says the ruling pushed his company into bankruptcy court	mr. maynard says
but as the outcry faded by the spring of 1988 they resumed	but they resumed
i do n't want to feel guilty representing my constituents	i do n't want to feel guilty
if that takes money take it away from this discredited federal department	take it away from this discredited federal department
she says it 'd create 600 jobs and bring cleveland tourist revenue	she says
until then the billions hud spends on inner-city housing simply is wasted	until then the billions simply is wasted
no doubt he believes the place can be salvaged	no doubt he believes
kansas power said mr. black 61 chose early retirement	kansas power said
allied-lyons while powerful in whiskey does n't own any major white-spirit brands	allied-lyons does n't own any major white-spirit brands
as that system grows larger computers may be needed	larger computers may be needed
our attitude is that the ranking is like miss america	our attitude is
once you 're miss america you 're always miss america	you 're always miss america
many atlantans thought pittsburgh was an unworthy heir	many atlantans thought
mr. savageau says earthquake or not san francisco makes the list	mr. savageau says
you do n't know which way to punch	you do n't know
but when stocks held steady treasury bonds later retreated	but treasury bonds later retreated
ford has signaled it might acquire a majority interest later	ford has signaled
analysts say usair has great promise	analysts say
she thinks traders should buy the stock if it tumbles to 35	she thinks
however mr. steinhardt says he 's comfortable holding usair as an investment	however mr. steinhardt says
british airways said it has n't received a proposal from jal	british airways said
gas to fuel it would be piped from the north sea	gas would be piped from the north sea
when mr. trump sued bally he sued only on behalf of himself	he sued only on behalf of himself
reflecting that logic insurance-company stocks posted strong gains	insurance-company stocks posted strong gains
that included capital gains that were passed along to customers	that included capital gains
formerly president and treasurer mr. lang remains chief executive officer	mr. lang remains chief executive officer
the company citing market conditions postponed a 200 million debt offer	the company postponed a 200 million debt offer
in june the chicago board of trade said it suspended capcom financial	in june the chicago board of trade said
the company said the move recognizes its strong financial position	the company said
he said the ordinance also will benefit the mentally retarded	he said
some dealers say other traders were n't picking up their phones	some dealers say
it 's very worrying that these markets ca n't cope	it 's very worrying
but it 's just one of those things that happened	but it 's just one of those things
they all said they invested huge amounts of money	they all said
i do n't know how much got through	i do n't know
analysts said the move could presage even harsher action by the banks	analysts said
the company said it expects to release third-quarter results in mid-november	the company said
exxon corp. said it will move its headquarters from manhattan to dallas	exxon corp. said
if this were 1949 mr. boren might even succeed	mr. boren might even succeed
maine republican william cohen said the plan might violate the assassination ban	maine republican william cohen said
i would n't say it 's quite a veto mr. boren demurs	i would n't say mr. boren demurs
the spokesman said unocal has had considerable interest from prospective buyers	the spokesman said
companies that only recently were thriving find themselves scrambling to survive	companies find themselves scrambling to survive
it 's evident we 're entering a more competitive era he says	it 's evident he says
