bus schedules were sometimes in disarray stranding commuters such as marilyn sullivan	bus schedules are sometimes in disarray stranding commuters such as marilyn sullivan
it 's worse than i thought she said	it is worse than i think she says
i think a lot of people got scared and stayed home	i think a lot of people gets scared and stayed home
he succeeds paul j. montle 42 who will remain chairman	he succeeds paul j. montle 42 who remain chairman
i would view it as a net positive	i view it as a net positive
they 're in the midst of a turnaround she noted	they is in the midst of a turnaround she notes
earnings have rebounded in 1989 after a 20 % decline last year	earnings has rebounded in 1989 after a 20 % decline last year
reebok added that mr. fireman will assume the title of president	reebok adds that mr. fireman assumes the title of president
we will not be commenting beyond the news release the spokesman said	we do not be commenting beyond the news release the spokesman says
most of the buying was institutional he added	most of the buying is institutional he adds
per-share net rose to 55.10 yen from 54.51 yen	per-share net rises to 55.10 yen from 54.51 yen
per-share net rose to 62.04 yen from 51.50 yen	per-share net rises to 62.04 yen from 51.50 yen
per-share net rose to 47.46 yen from 39.31 yen	per-share net rises to 47.46 yen from 39.31 yen
per-share net rose to 44.08 yen from 36.13 yen	per-share net rises to 44.08 yen from 36.13 yen
the russians are talking peace	the russians is talking peace
the palestinians are talking elections	the palestinians is talking elections
and the poles are engaged in commerce	and the poles is engaged in commerce
even least-cost environmental solutions will require billions of dollars	even least-cost environmental solutions require billions of dollars
east bloc pollution data typically have been state secrets	east bloc pollution data typically has been state secrets
officials at carnival declined to comment	officials at carnival declines to comment
jerell could n't immediately be reached for comment	jerell can n't immediately be reached for comment
ms. garratt 's assets and liabilities were n't disclosed	ms. garratt 's assets and liabilities is n't disclosed
revenue reached 1.1 billion from 1.01 billion	revenue reachs 1.1 billion from 1.01 billion
the parent also publishes weeklies shopping guides and specialty magazines	the parent also publishs weeklies shopping guides and specialty magazines
revenue eased 0.3 % to 3.45 billion from 3.46 billion	revenue eases 0.3 % to 3.45 billion from 3.46 billion
terms of the transaction were n't disclosed	terms of the transaction is n't disclosed
japanese companies fare best in u.s. when they give americans more say	japanese companies fares best in u.s. when they give americans more say
americans stay longer with japanese firms than american companies	americans stays longer with japanese firms than american companies
some consultants had insisted it would n't work	some consultants have insisted it does n't work
no one panicked a spokeswoman says	no one panics a spokeswoman says
mr. byrum and ms. smith could n't be reached for comment	mr. byrum and ms. smith can n't be reached for comment
sales declined 10 % to 251.2 million from 278.7 million	sales declines 10 % to 251.2 million from 278.7 million
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the atlanta-based chemical manufacturer says lower prices hurt margins for most products
the exclusion would apply to assets sold after oct. 1 1989	the exclusion applies to assets sold after oct. 1 1989
newly acquired assets would get a bigger break than those currently held	newly acquired assets get a bigger break than those currently held
senators are focusing on making a capital-gains differential permanent	senators is focusing on making a capital-gains differential permanent
the most pressing problem was the suspension of options trading	the most pressing problem is the suspension of options trading
