galveston-houston makes and markets products for the construction mining and energy industries	galveston-houston will make and markets products for the construction mining and energy industries
already the fight has been costly	already the fight will have been costly
we still think there 's a lot of unsettlement in this market	we still will think there will be a lot of unsettlement in this market
the scientists have experimented on the tiny neck arteries of rats	the scientists will have experimented on the tiny neck arteries of rats
we do n't have passive readers	we will not have passive readers
the unit has 30 employees in four california offices the company said	the unit will have 30 employees in four california offices the company will say
the afl-cio also embraces treatment guidelines	the afl-cio also will embrace treatment guidelines
the dollar also moved higher in tokyo	the dollar will also moved higher in tokyo
mr. carter is a political commentator who heads a television production firm	mr. carter will be a political commentator who will head a television production firm
american institutional investors have never had a large appetite for japanese equities	american institutional investors will have never had a large appetite for japanese equities
but as the outcry faded by the spring of 1988 they resumed	but as the outcry will faded by the spring of 1988 they will resume
one key for salespeople is to boost their own morale	one key for salespeople will be to boost their own morale
the ventilation here is great	the ventilation here will be great
the result is a 45 billion market according to securities data co	the result will be a 45 billion market according to securities data co
retailer sees pitfalls in environmental push	retailer will see pitfalls in environmental push
i think the market will be heading down into november he says	i will think the market will be heading down into november he will say
some casino owners have resisted the temptation to add rooms	some casino owners will have resisted the temptation to add rooms
the contract settled at 1,014 a ton off 13	the contract will settled at 1,014 a ton off 13
both took further hits yesterday	both will take further hits yesterday
hoare govett is acting as the consortium 's investment bankers	hoare govett will be acting as the consortium 's investment bankers
elsewhere prices of investment-grade and high-risk high-yield junk bonds ended unchanged	elsewhere prices of investment-grade and high-risk high-yield junk bonds will end unchanged
the board increased by one to 26 members	the board will increased by one to 26 members
partly costs will be held down through strategic technology alliances management said	partly costs will be held down through strategic technology alliances management will say
the oldest designer got to work on the dashboard she recalls	the oldest designer will get to work on the dashboard she will recall
she added if they all were bullish i 'd really be upset	she will add if they all will be bullish i 'd really be upset
ual corp. is a good example	ual corp. will be a good example
sperry merged with burroughs corp. to become unisys corp. in late 1986	sperry will merge with burroughs corp. to become unisys corp. in late 1986
but she stressed i am against managed trade	but she will stress i will be against managed trade
sales were nearly identical to the year-earlier 1.36 billion	sales will be nearly identical to the year-earlier 1.36 billion
sierra has been instrumental in securing a number of the california bans	sierra will have been instrumental in securing a number of the california bans
there was n't a lot of panic selling either domestically or internationally	there will not be a lot of panic selling either domestically or internationally
he could not be reached for comment	he can not be reached for comment
neither disclosed details pending board meetings next month	neither will disclose details pending board meetings next month
mission resource partners lost 5 1\/4 to 14 1\/8	mission resource partners will lose 5 1\/4 to 14 1\/8
now you see it now you do n't	now you will see it now you will not
he said mr. steinberg had insisted that the merger talks move quickly	he will say mr. steinberg will have insisted that the merger talks will move quickly
we got some exposure and pretty much good will	we will get some exposure and pretty much good will
most traders will be looking to buy on pullbacks he said	most traders will be looking to buy on pullbacks he will say
some tariffs were eliminated when the trade pact took effect jan. 1	some tariffs will be eliminated when the trade pact will take effect jan. 1
mr. coffee is a professor at columbia law school	mr. coffee will be a professor at columbia law school
here is how three vietnamese are coping with change	here will be how three vietnamese will be coping with change
we think alliances are very important mr. eddington says	we will think alliances will be very important mr. eddington will say
its high for the past year was 16.375 a share	its high for the past year will be 16.375 a share
it 's bad soil he says	it will be bad soil he will say
prices in brussels where a computer breakdown disrupted trading also tumbled	prices in brussels where a computer breakdown will disrupt trading also will tumble
the rest as they say is history	the rest as they will say will be history
consequently small business is taking more pro-active steps to counter mandated leaves	consequently small business will be taking more pro-active steps to counter mandated leaves
bangkok manila seoul taipei and jakarta escaped with slightly smaller losses	bangkok manila seoul taipei and jakarta will escape with slightly smaller losses
we were oversold and today we bounced back	we will be oversold and today we will bounce back
that effect holds true for both short-term and long-term bonds	that effect will hold true for both short-term and long-term bonds
trading volume was a moderately heavy 3.1 million shares	trading volume will be a moderately heavy 3.1 million shares
the 40-a-share proposal values the company at about 106.6 million	the 40-a-share proposal will value the company at about 106.6 million
gaf part iii is scheduled to begin today	gaf part iii will be scheduled to begin today
mr. henning is a chicago-based law firm management consultant and a writer	mr. henning will be a chicago-based law firm management consultant and a writer
the notes are zero-coupon securities and will not pay interest periodically	the notes will be zero-coupon securities and will not pay interest periodically
other retailers are also preparing for a ho-hum holiday	other retailers will be also preparing for a ho-hum holiday
wacoal said it intends to produce the cars through a car manufacturer	wacoal will say it will intend to produce the cars through a car manufacturer
most investment-grade bonds fell 3\/8 to 1\/2 point	most investment-grade bonds will fall 3\/8 to 1\/2 point
revenue was flat at 1.3 billion	revenue will be flat at 1.3 billion
still there is money to be made	still there will be money to be made
workers could dial out but they could n't receive telephone calls	workers can dial out but they can n't receive telephone calls
the i-880 section had completed the first phase of the retrofitting	the i-880 section will have completed the first phase of the retrofitting
there was no new-issue activity in the derivative market	there will be no new-issue activity in the derivative market
you already know the answer	you already will know the answer
prices peaked at 1,150,000 in september 1987	prices will peak at 1,150,000 in september 1987
press agents and public-relations practitioners are notorious name-droppers	press agents and public-relations practitioners will be notorious name-droppers
questions like that really stir up marshall 's ghost	questions like that will really stir up marshall 's ghost
i have never had as many calls as i had this morning	i will have never had as many calls as i will have this morning
this case realizes that concern	this case will realize that concern
craig forman in london contributed to this article	craig forman in london will contribute to this article
small business is bracing for an avalanche of similar proposals next year	small business will be bracing for an avalanche of similar proposals next year
hughes said it expects the sale to close by year end	hughes will say it will expect the sale to close by year end
