wall street is understandably skeptical	wall street will be understandably skeptical
mcdonald 's has also been running negative all year the analyst says	mcdonald 's will have also been running negative all year the analyst will say
the account had been at della femina mcnamee wcrs new york	the account will have been at della femina mcnamee wcrs new york
the insurance adjusters think differently	the insurance adjusters will think differently
sales rose 2.9 % to 329.2 million from 320 million	sales will rise 2.9 % to 329.2 million from 320 million
revenue rose 12 % to 1.37 billion from 1.22 billion	revenue will rise 12 % to 1.37 billion from 1.22 billion
this news raised hopes for further interest-rate cuts	this news will raise hopes for further interest-rate cuts
at that rate the defense plan is underfunded by 48 billion	at that rate the defense plan will be underfunded by 48 billion
brown-forman a louisville ky. distiller also declined to comment	brown-forman a louisville ky. distiller also will decline to comment
we 're on a tight budget says detroit edison 's carol roskind	we will be on a tight budget will say detroit edison 's carol roskind
supermarkets are getting into the variety act too	supermarkets will be getting into the variety act too
analysts say usair has great promise	analysts will say usair will have great promise
it 's frightening mr. shattuck said	it will be frightening mr. shattuck will say
a guinness spokesman declined to comment	a guinness spokesman will decline to comment
earnings from the bank 's global consumer business grew 27 %	earnings from the bank 's global consumer business will grow 27 %
in the end i think david will be judged for being david	in the end i will think david will be judged for being david
east germany's krenz warned against further pro-democracy protests	east germany's krenz will warn against further pro-democracy protests
but sen. mitchell buoyed by his victory among fellow democrats strongly disagreed	but sen. mitchell will buoyed by his victory among fellow democrats strongly will disagree
the cheapest among 100 cities surveyed was 5.11 in el paso texas	the cheapest among 100 cities will surveyed will be 5.11 in el paso texas
freddie mac 9 % securities were at 97 21\/32 up 5\/32	freddie mac 9 % securities will be at 97 21\/32 up 5\/32
sock it away in long-term instruments	will sock it away in long-term instruments
defining combat aircraft is even tougher	defining combat aircraft will be even tougher
but so-called outer month contracts finished higher	but so-called outer month contracts will finish higher
in the year-ago period net included 32.7 million from discontinued operations	in the year-ago period net will include 32.7 million from discontinued operations
they went a collective 5-for-24 here with zero homers and ribbies	they will go a collective 5-for-24 here with zero homers and ribbies
i feel committed to the program of opening markets and expanding trade	i will feel committed to the program of opening markets and expanding trade
revenue increased 6.5 % to 42.25 billion from 39.68 billion	revenue will increased 6.5 % to 42.25 billion from 39.68 billion
along the way there also are lots of romantic dalliances	along the way there also will be lots of romantic dalliances
about 10 % of the school districts approached have rejected the network	about 10 % of the school districts will approached will have rejected the network
the deal would require approval by a majority of jaguar shareholders	the deal will require approval by a majority of jaguar shareholders
still there was a breakthrough at geneva	still there will be a breakthrough at geneva
this was george bush 's own idea	this will be george bush 's own idea
until last week mr. dinkins was considered a shoo-in	until last week mr. dinkins will be considered a shoo-in
what did he think of the supreme court 's decision legalizing abortion	what did he will think of the supreme court 's decision legalizing abortion
he declined to make a specific earnings estimate	he will decline to make a specific earnings estimate
mr. anderson wants the prestige colleges to sponsor such a plan	mr. anderson will want the prestige colleges to sponsor such a plan
mr. warren pronounces the litchfield case your typical demonic infestation	mr. warren will pronounce the litchfield case your typical demonic infestation
that 's a big number	that will be a big number
and then you still have to negotiate	and then you still will have to negotiate
in chicago grain and soybean prices rose slightly	in chicago grain and soybean prices will rise slightly
lawyers remain divided about whether anything is wrong with all this	lawyers will remain divided about whether anything will be wrong with all this
no safety problems with the products are known the fda said	no safety problems with the products will be known the fda will say
piping in a waste-treatment plant needed immediate repairs	piping in a waste-treatment plant will need immediate repairs
his observations were taken seriously	his observations will be taken seriously
viacom officials declined to comment	viacom officials will decline to comment
otherwise actual profit is compared with the 300-day estimate	otherwise actual profit will be compared with the 300-day estimate
the reason was not high interest rates or labor costs	the reason will not be high interest rates or labor costs
you have to beat everyone around the world says mr. dennis	you will have to beat everyone around the world will say mr. dennis
in secondary trading investment-grade corporate bonds ended 1\/8 to 1\/4 higher	in secondary trading investment-grade corporate bonds will end 1\/8 to 1\/4 higher
bard\/ems had 1988 sales of about 14 million birtcher said	bard\/ems will have 1988 sales of about 14 million birtcher will say
they serve the industries and the special-interest groups	they will serve the industries and the special-interest groups
donaldson lufkin would n't comment	donaldson lufkin will n't comment
revenue slipped 4.6 % to 835 million from 876 million	revenue will slip 4.6 % to 835 million from 876 million
the rest of the world accepted such methods when japan was developing	the rest of the world will accept such methods when japan will be developing
so far mr. dassault has resisted pressure to change	so far mr. dassault will have resisted pressure to change
that 's going to cost ibm revenue	that will cost ibm revenue
but they need not be to do their jobs well	but they need not will be to do their jobs well
gerald f. seib contributed to this article	gerald f. seib will contribute to this article
by 10:30 a.m. the dow was down 62.70	by 10:30 a.m. the dow will be down 62.70
we need them and i thank god for them	we will need them and i will thank god for them
