japanese companies fare best in u.s. when they give americans more say	companies fare in u.s. when they give americans say
americans stay longer with japanese firms than american companies	americans stay with firms than companies
long-term care insurance gains favor	care insurance gains favor
fear of aids hinders hiring at few hospitals	fear of aids hinders hiring at hospitals
ibm 's push is also unusual in its approach to marketing	ibm 's push is unusual in its approach to marketing
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the chemical manufacturer said prices hurt margins for products
newly acquired assets would get a bigger break than those currently held	acquired assets would get a break than those held
the current debt limit expires oct. 31	the debt limit expires oct. 31
the most pressing problem was the suspension of options trading	the pressing problem was the suspension of options trading
workers could dial out but they could n't receive telephone calls	workers could dial but they could n't receive telephone calls
if one city is down the other can take over	if one city is down the can take
meanwhile the brokerage firms in san francisco were trying to cope	the brokerage firms in san francisco were trying to cope
also most of the telecommunications equipment was out	of the telecommunications equipment was out
we are having a regular day	we are having a day
we are seeing such exercises today in fact	we are seeing exercises today in fact
interest expense in the 1988 third quarter was 75.3 million	interest expense in the 1988 quarter was 75.3 million
president bush signed a disaster declaration covering seven northern california counties	president bush signed a disaster declaration covering seven california counties
in congress lawmakers already are looking for ways to add relief funds	in congress lawmakers are looking for ways to add relief funds
twenty-five trucks capable of cooking food were dispatched from other states	twenty-five trucks capable of cooking food were dispatched from states
still some aid is moving westward from washington almost immediately	some aid is moving from washington
the agency plans to announce specific relief procedures in the coming days	the agency plans to announce relief procedures in the coming days
the account currently has 220 million	the account has 220 million
the i-880 section had completed the first phase of the retrofitting	the i-880 section had completed the phase of the retrofitting
their machine tools are even bolted to the shop floor	their machine tools are bolted to the shop floor
they then run remotely controlled self-diagnostic programs	they run controlled programs
digital also said it has dispatched teams of technicians to california	digital said it has dispatched teams of technicians to california
already the 1982 legislation has saved an estimated 800 million	the 1982 legislation has saved an estimated 800 million
anti-nuclear activists took a less positive view	activists took a positive view
the protesters point out that galileo also could crash to earth then	the protesters point out that galileo could crash to earth
the successful launch continues a remarkable recovery in the u.s. space-science program	the launch continues a recovery in the u.s. space-science program
not all of nasa 's space-science work will be so auspicious though	all of nasa 's space-science work will be auspicious
sales rose to 406 million from 356 million the year earlier	sales rose to 406 million from 356 million the year
the earthquake caused many streets to buckle and crack making them impassible	the earthquake caused streets to buckle and crack making them impassible
