britain 's unsettled political scene also worries some investors	some investors also are worryed by britain 's unsettled political scene
revenue rose 21 % to 22.61 billion francs from 18.69 billion francs	21 % was risen by revenue to 22.61 billion francs from 18.69 billion francs
the current contract pays the nfl 1.4 billion	the nfl is paid by the current contract 1.4 billion
british airways fell 1 to 31 7\/8	1 were felled by british airways to 31 7\/8
but in 1989 most senators have other ideas	but in 1989 other ideas are had by most senators
it 's the total relationship that is important	the total relationship is had by it that is important
the california thrift has just announced a 226 million third-quarter loss	a 226 million third-quarter loss has just been announced by the california thrift
revenue slipped 0.7 % to 395.3 million from 398.3 million	0.7 % was slipped by revenue to 395.3 million from 398.3 million
the nasdaq financial index lost about 1 % or 3.95 to 448.80	about 1 % or 3.95 were lost by the nasdaq financial index to 448.80
we do n't disclose specifics	specifics are n't disclosed by us
mr. beddall had been executive vice president of the division since april	executive vice president of the division had been executive vice president of the division since april
he simply ca n't stomach the taste of heinz she says	the taste of heinz simply ca n't be stomached by him she says
gaining big board issues outnumbered decliners by 1,235 to 355	decliners was outnumbered by gaining big board issues by 1,235 to 355
it 's a horrible machine actually	a horrible machine is had by it actually
the playoff series had riveted the 12-year-old giants fan	the 12-year-old giants fan had been riveted by the playoff series
that purchase doubled quebecor 's annual printing revenue to 750 million	quebecor 's annual printing revenue was doubled by that purchase to 750 million
back in 1964 the fbi had five black agents	back in 1964 five black agents were had by the fbi
they did n't return the rubber stocks that represent his capital	the rubber stocks that represent his capital were n't returned by them
he takes over a school system in the midst of radical reform	a school system in the midst of radical reform is taken over by him
the stock gained 2.75 thursday to close at a then-52 week high	2.75 were gained by the stock thursday to close at a then-52 week high
but they have just taken it for granted	but it has just been taken by them for granted
mr. locke teaches english and comparative literature at columbia university	english and comparative literature is taught by mr. locke at columbia university
he already has finagled a 2 billion loan from the japanese government	a 2 billion loan already has been finagled by him from the japanese government
mr. aloe said the odeon has no policy against hiring pregnant people	mr. aloe said no policy against hiring pregnant people is had by the odeon
dr. dryja made his retinoblastoma discovery in 1986	his retinoblastoma discovery was made by dr. dryja in 1986
prices in brussels where a computer breakdown disrupted trading also tumbled	prices in brussels where trading was disrupted by a computer breakdown also tumbled
accepted theories of asset pricing offer a perfectly legitimate explanation	a perfectly legitimate explanation is offered by accepted theories of asset pricing
