then the computers give us more information than we can ever read	then we are given by the computers more information than we can ever read
for them it makes all kinds of sense	for them all kinds of sense are made by it
it reduces the baseline by 169 billion	the baseline is reduced by it by 169 billion
revenue rose 12 % to 1.63 billion from 1.46 billion	12 % was risen by revenue to 1.63 billion from 1.46 billion
revenue advanced 26 % to 9.6 billion from 7.6 billion	26 % was advanced by revenue to 9.6 billion from 7.6 billion
characteristically he did n't waste much time getting started	characteristically much time was n't wasted by him getting started
the plan would impose a brief freeze on physician fees next year	a brief freeze would be imposed by the plan on physician fees next year
banco popular meanwhile dropped 1 1\/4 to 21 1\/2	1 1\/4 meanwhile were dropped by banco popular to 21 1\/2
there are times when she must show a little emotion	there are times when a little emotion must be shown by her
ad linage at the journal fell 6.1 % in the third quarter	6.1 % was felled by ad linage at the journal in the third quarter
randy delchamps retains his position as president	his position as president is retained by randy delchamps
the software company said revenue slid 28 % to 53.9 million	the software company said 28 % was slid by revenue to 53.9 million
if you 're a technician you obey the signals	if you 're a technician the signals are obeyed by you
last friday 96 stocks on the big board hit new 12-month lows	new 12-month lows 96 stocks on the big board were hit by last friday
in either case the investor faces three possible outcomes	in either case three possible outcomes are faced by the investor
the index is based on 1980 equaling 100	the index is based on 100 being equaled by 1980
the transaction represents lynch 's entry into the telephone business	lynch 's entry into the telephone business is represented by the transaction
do they want the spotlight for themselves or for their cause	do the spotlight is wanted by them for themselves or for their cause
lloyd 's has lost control of the situation he says	control of the situation has been lost by lloyd 's he says
the left-of-center social democrats and the environmental greens party posted mixed results	mixed results were posted by the left-of-center social democrats and the environmental greens party
city federal operates 105 banking offices in new jersey and florida	105 banking offices in new jersey and florida are operated by city federal
viroqua serves about 3,000 access lines in western wisconsin	about 3,000 access lines in western wisconsin are served by viroqua
sales increased 36 % to 683 million from 502 million	36 % was increased by sales to 683 million from 502 million
the announcement made after the close of trading caught analysts by surprise	analysts were caught by the announcement made after the close of trading by surprise
there 's some price at which we 'd stop bidding	some price at which we 'd stop bidding is had by there
shearson does n't break out the earnings of its subsidiaries	the earnings of its subsidiaries is n't broken out by shearson
those current holders would also receive minority interests in the new company	minority interests in the new company would also be received by those current holders
an assassin in colombia killed a federal judge on a medellin street	a federal judge was killed by an assassin in colombia on a medellin street
a tvs spokesman said he did n't know mr. price 's plans	a tvs spokesman said mr. price 's plans was n't known by him
not everybody agrees that it 's time to trim	not everybody agrees that time to trim is had by it
one team pays so much and the other pays more	so much are paid by one team and more are paid by the other
litigation sciences does n't make moral distinctions	moral distinctions are n't made by litigation sciences
the rapid advance of the 52-year-old executive surprised many at the company	many at the company were surprised by the rapid advance of the 52-year-old executive
workers could dial out but they could n't receive telephone calls	workers could dial out but telephone calls could n't be received by them
they promised yet more for really good stuff	yet more for really good stuff were promised by them
all three funds posted negative returns for the year to date	negative returns for the year to date were posted by all three funds
bush and gorbachev will hold two days of informal talks next month	two days of informal talks will be holded by bush and gorbachev next month
but violation could bring substantial tax penalties to both employer and employees	but substantial tax penalties could be brought by violation to both employer and employees
does mr. steinhardt regret his incursion into the takeover-threat game	does his incursion into the takeover-threat game is regretted by mr. steinhardt
they ca n't buy feed from the state	feed ca n't be bought by them from the state
cnbc will produce six one-hour programs beginning in april 1990	six one-hour programs will be produced by cnbc beginning in april 1990
then they opened small gift shops mostly aimed at japanese tourists	then small gift shops mostly aimed at japanese tourists were opened by them
six-year-old pace based in aurora colo. operates 41 warehouse-club stores	41 warehouse-club stores are operated by six-year-old pace based in aurora colo.
we put some orders together	some orders are put by us together
some current rates exceed those on cds	those on cds are exceeded by some current rates
the american stock exchange listed shares of two companies	shares of two companies were listed by the american stock exchange
bosses have big ears these days	big ears are had by bosses these days
some machines make charts for presentations	charts for presentations are made by some machines
officials expect difficulty routing traffic through downtown san francisco	difficulty routing traffic through downtown san francisco is expected by officials
the diplomat adds that mr. krenz has several things going for him	the diplomat adds that several things going for him are had by mr. krenz
the ambitious warsaw project still awaits approval by city officials	approval by city officials still is awaited by the ambitious warsaw project
i ca n't support him because of abortion	he ca n't be supported by me because of abortion
americans did n't dislike metrics they simply ignored them	metrics were n't disliked by americans they simply were ignored by them
the so-called poison pill took effect aug. 9 pending ratification by holders	effect was taken by the so-called poison pill aug. 9 pending ratification by holders
mr. roberts also takes a swipe at the bank 's adjustment lending	a swipe also is taken by mr. roberts at the bank 's adjustment lending
global offshore-rig use shows a similar upward trend	a similar upward trend is shown by global offshore-rig use
comprehensive care plunged 4 3\/4 to 3 5\/8 on 1.2 million shares	4 3\/4 were plunged by comprehensive care to 3 5\/8 on 1.2 million shares
we do n't need the cash	the cash is n't needed by us
administration officials defend mr. bush 's decision to make the trip	mr. bush 's decision to make the trip is defended by administration officials
eventually mr. postel broke his toe in the dark	eventually his toe was broken by mr. postel in the dark
mr. shilling understands mr. straszheim 's problems	mr. straszheim 's problems is understood by mr. shilling
executives universally believe workers should know their employer-sponsored benefits	executives universally believe their employer-sponsored benefits should be known by workers
later the judge went a step farther	later a step was gone by the judge farther
the economy he noted moves the market not vice versa	the market he noted is moved by the economy not vice versa
mercedes sold 82,348 cars in 1988	82,348 cars were sold by mercedes in 1988
the market 's pessimism reflects the gloomy outlook in detroit	the gloomy outlook in detroit is reflected by the market 's pessimism
american medical jumped 1 7\/8 to 23 5\/8	1 7\/8 were jumped by american medical to 23 5\/8
it added another 5 % monday before stocks rallied	another 5 % was added by it monday before stocks rallied
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the atlanta-based chemical manufacturer said margins are hurt by lower prices for most products
abc had based its budget for baseball on a six-game series	its budget for baseball had been based by abc on a six-game series
in addition mccall 's put in a less than stellar performance	in addition a less than stellar performance was put in by mccall 's
the report of the bankruptcy filing stunned hollywood executives and investors	hollywood executives and investors were stunned by the report of the bankruptcy filing
adults have had access to the only approved antiviral drug since 1987	access to the only approved antiviral drug has been had by adults since 1987
never mind that her husband prefers crest	never mind that crest is prefered by her husband
mr. meador had been executive vice president of balcor	executive vice president of balcor had been executive vice president of balcor
it 's nothing dramatic just a routine sell-off	nothing dramatic just a routine sell-off is had by it
the dax dropped 19.69 points friday to 1462.93	19.69 points were dropped by the dax friday to 1462.93
usair fell 2 1\/2 to 40	2 1\/2 were felled by usair to 40
this will raise the energy level of the show	the energy level of the show will be raised by this
to be sure the threat has hit home down here	to be sure home has been hit by the threat down here
yet mr. rosen has turned the import phenomenon to his advantage	yet the import phenomenon has been turned by mr. rosen to his advantage
more carefully targeted intervention might actually reduce the need for government action	the need for government action might actually be reduced by more carefully targeted intervention
it is however possible that further study will reveal increasing bias	it is however possible that increasing bias will be revealed by further study
the paris bank does n't publish that figure	that figure is n't published by the paris bank
that 's just the beginning he says	the beginning is had just by that he says
hospital regulation sparks kentucky feud	kentucky feud is sparksed by hospital regulation
santa fe also has 3.7 billion in debt	3.7 billion in debt also are had by santa fe
