in such a climate utility stocks look good to him	utility stocks look good
u.s. clearance also is needed for the proposed acquisition	u.s. clearance also is needed
revenue rose 11 % to 8 billion from 7.2 billion	revenue rose 11 %
he has two more years at texas a&m	he has two more years
revenue rose 6.4 % to 415.3 million from 390.5 million	revenue rose 6.4 %
the individual voter 's standing consequently will be enhanced through lower taxes	the individual voter 's standing consequently will be enhanced
gross revenue rose 21 % to 580.4 million from 478.9 million	gross revenue rose 21 %
though tiny that 's a reduction in its share	though tiny that 's a reduction
new york life has been doing the same for over 140 years	new york life has been doing the same
mr. sung could n't be reached for comment	mr. sung could n't be reached
