recruiter donald clark does note an increase in searches for minority candidates	recruiter donald clark did note an increase in searches for minority candidates
pay for performance hangs mostly on boss 's subjective view	pay for performance hung mostly on boss 's subjective view
many companies have set up machinery to assure workers a fair shake	many companies had set up machinery to assure workers a fair shake
japanese companies fare best in u.s. when they give americans more say	japanese companies fared best in u.s. when they gave americans more say
americans stay longer with japanese firms than american companies	americans stayed longer with japanese firms than american companies
but they think promotions are limited	but they thought promotions were limited
long-term care insurance gains favor	long-term care insurance gained favor
fear of aids hinders hiring at few hospitals	fear of aids hindered hiring at few hospitals
i can tell you that nobody quit over it	i could tell you that nobody quit over it
no one panicked a spokeswoman says	no one panicked a spokeswoman said
ibm 's push is also unusual in its approach to marketing	ibm 's push was also unusual in its approach to marketing
senators are focusing on making a capital-gains differential permanent	senators were focusing on making a capital-gains differential permanent
the current debt limit expires oct. 31	the current debt limit expired oct. 31
if one city is down the other can take over	if one city was down the other could take over
we are having a regular day	we were having a regular day
we are seeing such exercises today in fact	we were seeing such exercises today in fact
in congress lawmakers already are looking for ways to add relief funds	in congress lawmakers already were looking for ways to add relief funds
still some aid is moving westward from washington almost immediately	still some aid was moving westward from washington almost immediately
the agency plans to announce specific relief procedures in the coming days	the agency planned to announce specific relief procedures in the coming days
the account currently has 220 million	the account currently had 220 million
their machine tools are even bolted to the shop floor	their machine tools were even bolted to the shop floor
they then run remotely controlled self-diagnostic programs	they then ran remotely controlled self-diagnostic programs
already the 1982 legislation has saved an estimated 800 million	already the 1982 legislation had saved an estimated 800 million
that division 's manager has been fired	that division 's manager had been fired
i 'm happy and sad he said	i was happy and sad he said
the protesters point out that galileo also could crash to earth then	the protesters pointed out that galileo also could crash to earth then
the successful launch continues a remarkable recovery in the u.s. space-science program	the successful launch continued a remarkable recovery in the u.s. space-science program
not all of nasa 's space-science work will be so auspicious though	not all of nasa 's space-science work bed so auspicious though
the slack absorbs the pulling strain generated by an earthquake	the slack absorbed the pulling strain generated by an earthquake
officials expect difficulty routing traffic through downtown san francisco	officials expected difficulty routing traffic through downtown san francisco
mr. bandler puts traffic volume at 10 to 50 times normal	mr. bandler put traffic volume at 10 to 50 times normal
the construction industry is sure to feel increased demand	the construction industry was sure to feel increased demand
the money spent on repairs will be counted as a plus	the money spent on repairs bed counted as a plus
you certainly can say it 's going to be extremely severe	you certainly could say it 's going to be extremely severe
now we realize what our mothers must have gone through she says	now we realized what our mothers must have gone through she said
tendered shares not purchased will be returned to holders	tendered shares not purchased bed returned to holders
the berlin wall still stands	the berlin wall still stood
but the man who built it has fallen	but the man who built it had fallen
but u.s. officials have strong doubts that he is a reformer	but u.s. officials had strong doubts that he was a reformer
clearly the central figure in this process is egon krenz	clearly the central figure in this process was egon krenz
moreover both men have hewn to a similar hard-line philosophy	moreover both men had hewn to a similar hard-line philosophy
however mr. krenz also has a reputation for being politically savvy	however mr. krenz also had a reputation for being politically savvy
in recent days mr. krenz has sought to project a kinder image	in recent days mr. krenz had sought to project a kinder image
but will it be enough	but will it bed enough
west german government officials and western analysts are doubtful	west german government officials and western analysts were doubtful
but they are stalwart socialists	but they were stalwart socialists
one of their pastors has envisioned a new utopia of creative socialism	one of their pastors had envisioned a new utopia of creative socialism
a reflects 2-for-1 stock split effective dec. 30 1988	a reflected 2-for-1 stock split effective dec. 30 1988
