the financial times 30-share index closed 79.3 points lower at 1738.7	the financial times 30-share index closed 79.3 points lower
terms of the transaction were n't disclosed	terms were n't disclosed
buyers stepped in to the futures pit	buyers stepped in
the transaction is expected to close by nov. 30	the transaction is expected to close
the offering series 1989-86 is backed by fannie mae 9 % securities	the offering series 1989-86 is backed
currently average pay for machinists is 13.39 an hour boeing said	currently average pay is 13.39 an hour boeing said
sun also reported a record backlog of orders	sun also reported a record backlog
this being typed in a standing position	this being typed
after years of fading into the background two-tone photography is coming back	two-tone photography is coming back
heiwa real estate gained 40 to 2210	heiwa real estate gained 40
consumer stocks once again set the pace for blue-chip issues	consumer stocks once again set the pace
interest rates barely budged from tuesday 's levels	interest rates barely budged
hilton lost 20 % on friday paramount lost almost 11 %	hilton lost 20 % paramount lost almost 11 %
prices of treasury bonds tumbled in moderate to active trading	prices tumbled
by contrast surgical abortion is 99 % effective	surgical abortion is 99 % effective
some 70 % of them are to be exported to the u.s.	some 70 % are to be exported
this action was defended by the canadian government on conservation grounds	this action was defended
mr. mehl attributed the rise specifically to the treasury bill increase	mr. mehl attributed the rise
of course many more issues 93 hit new lows	many more issues 93 hit new lows
it was crazy said neil weisman general partner of chilmark capital corp	it was crazy said neil weisman general partner
productivity in japanese offices is relatively low	productivity is relatively low
waxman sells a variety of hardware products for the home repair market	waxman sells a variety
you 're making a pure bet on the market	you 're making a pure bet
most estimates for monsanto run between 1.70 and 2 a share	most estimates run
but there 's another side to mr. krenz	but there 's another side
volume on the new york stock exchange totaled 155.7 million shares	volume totaled 155.7 million shares
but there is a grimly ironic twist to the columbia loss	but there is a grimly ironic twist
gerald f. seib contributed to this article	gerald f. seib contributed
in september kellogg co. launched a competing psyllium-fortified cereal called heartwise	kellogg co. launched a competing psyllium-fortified cereal called heartwise
farm income is 15 % below the average	farm income is
the two big banks were instrumental in designing the new contract	the two big banks were instrumental
they are piggybacking onto developed technology he said	they are piggybacking he said
but middle east supplies were growing in importance	but middle east supplies were growing
he was back in jail over the summer on shoplifting charges	he was back
on china 's turmoil it is a very unhappy scene he said	it is a very unhappy scene he said
now television and radio evangelists are under scrutiny	now television and radio evangelists are
revenue rose to 235.2 million from 176.4 million	revenue rose
here 's a look at some of the alternatives	here 's a look
the drug was introduced in west germany this year	the drug was introduced this year
bush and gorbachev will hold two days of informal talks next month	bush and gorbachev will hold two days next month
they are all priced at par	they are all priced
the company reported a big third-quarter loss on thursday	the company reported a big third-quarter loss
and the sets are wider resembling the dimensions of a movie screen	and the sets are wider resembling the dimensions
it earned 76.4 million or 1.82 a share in the 1988 quarter	it earned 76.4 million or 1.82 a share
borrowed shares on the amex rose to another record	borrowed shares rose
added mr. jacobson there were some pretty bad losses in the stock	added mr. jacobson there were some pretty bad losses
once and for all 5-a-barrel crude oil and 35-cents-a-gallon gasoline were history	once and 5-a-barrel crude oil and 35-cents-a-gallon gasoline were history
reinsurance is protection taken out by the insurance firms themselves	reinsurance is protection taken out
rather they tend to have a set of two or three favorites	rather they tend to have a set
shares of biotechnology companies in the area were also higher	shares were also higher
it had a 258.9 million loss in the second quarter	it had a 258.9 million loss
changing the outcome of the trial is what really matters	changing the outcome is what really matters
big business mr. pawlowski snorts in english	big business mr. pawlowski snorts
federal judge expands role of u.s. courts in extradition decisions	federal judge expands role
its interest expense surged to 21.5 million from 12.4 million	its interest expense surged
revenue rose 15 % to 2.17 billion from 1.89 billion	revenue rose 15 %
the senators responded in kind	the senators responded
by lunchtime the selling was at near-panic fever	the selling was
the acquisition was completed in september	the acquisition was completed
he said he would convene hearings within two weeks	he said he would convene hearings
some current rates exceed those on cds	some current rates exceed those
short-term interest rates rose at the government 's regular weekly treasury-bill auction	short-term interest rates rose
in 1987 prosecutors filed against 35 defendants for every 100,000 adults	prosecutors filed
the price movements get bigger as the maturity of the securities lengthens	the price movements get bigger as the maturity lengthens
the loss was largely due to a 55.2 million addition to reserves	the loss was largely due
a spokeswoman for paramount said the company does n't comment on speculation	a spokeswoman said the company does n't comment
the agency plans to announce specific relief procedures in the coming days	the agency plans to announce specific relief procedures
but violation could bring substantial tax penalties to both employer and employees	but violation could bring substantial tax penalties
americans stay longer with japanese firms than american companies	americans stay longer
the country 's narcotics traffickers claimed responsibility for the slaying	the country 's narcotics traffickers claimed responsibility
the financial times 30-share index settled 27.8 points higher at 1758.5	the financial times 30-share index settled 27.8 points higher
i was never a rebel he said in an earlier interview	i was never a rebel he said
