the evening ended with mr. glass 's metamorphosis another multiple work	the evening ended
monday and tuesday were lackluster in comparison he said	monday and tuesday were lackluster he said
miss shlaes is editorial features editor of the wall street journal\/europe	miss shlaes is editorial features editor
that went over the permissible line for warm and fuzzy feelings	that went
motorola is fighting back against junk mail	motorola is fighting back
chiron another pharmaceutical concern is based in emeryville calif	chiron another pharmaceutical concern is based
the fundamentals do n't change in an hour he says	the fundamentals do n't change he says
but again the themes get tangled in mr. mahfouz 's elliptical storytelling	but again the themes get tangled
the issue is rated single-b-3 by moody 's and single-b-plus by s&p	the issue is rated single-b-3 and single-b-plus
revenue climbed 13 % to 45.4 billion francs from 40.1 billion	revenue climbed 13 %
in other words it was a better-than-average manhattan commute	it was a better-than-average manhattan commute
i 've invited the president to send his suggestions to the committee	i 've invited the president to send his suggestions
ms. house is vice president of dow jones international group	ms. house is vice president
international business machines dropped 7\/8 to 99 7\/8	international business machines dropped 7\/8
some producers seem tentative about the technique squeamish even	some producers seem tentative squeamish even
interest income rose 29 % to about 1.35 billion from 1.05 billion	interest income rose 29 %
she analyzed families by their sleeping arrangements	she analyzed families
carnival cruise lines class a rose 1 1\/4 to 22 3\/8	carnival cruise lines class a rose 1 1\/4
mr. jelenic had been executive vice president for operations	mr. jelenic had been executive vice president
we have one near here	we have one
we go from one to the other	we go
traders shouted as their screens posted an ever-narrowing loss on wall street	traders shouted as their screens posted an ever-narrowing loss
if i need to ask for money up front later i will	if i need to ask later i will
unless of course it happens to be run by the rothschilds	unless it happens to be run
how can it make available funds for purchases	how can it make available funds
meanwhile overall evidence on the economy remains fairly clouded	meanwhile overall evidence remains fairly clouded
yuba city calif. meanwhile ranked dead last among 329 metro areas	yuba city calif. meanwhile ranked dead last
in yesterday 's edition the amount of new capital was misstated	the amount was misstated
with notes they 're visually distinct	they 're visually distinct
researchers can apply for permission to use the probes for brain studies	researchers can apply
population drain ends for midwestern states	population drain ends
for months the resistance has been defenseless against air attack	the resistance has been defenseless
much is being done in colombia to fight the drug cartel mafia	much is being done to fight the drug cartel mafia
conspicuous by its absence is california	conspicuous is california
that certainly is not the supposed distorted reading indicated by mr. lantos	that certainly is not the supposed distorted reading indicated
that is a property right that belongs to the performer	that is a property right that belongs
but the estimates range from break-even to 35 cents a share	but the estimates range
the percentage change is since year-end	the percentage change is
both clarcor and anderson are based in rockford ill	both clarcor and anderson are based
both westwood brick and westwood group are based in boston	both westwood brick and westwood group are based
by 10 a.m. it was down 49	it was down 49
czeslaw pyszkiewicz owns 30 acres in 14 scattered scraps	czeslaw pyszkiewicz owns 30 acres
thus we have a condition that is easily described as undemocratic	thus we have a condition that is easily described
commercials will highlight heart-rending scenes of texas and chest-swelling ain't-it-great-to-be-a-texan music	commercials will highlight heart-rending scenes and chest-swelling ain't-it-great-to-be-a-texan music
california a trend-setter in franchising rules stirs a controversy	california a trend-setter stirs a controversy
you 'll see the annual unraveling of it	you 'll see the annual unraveling
he probably has n't done it for the cash	he probably has n't done it
what could imply more safety than investing in government bonds	what could imply more safety
the government is projecting a 14 billion surplus for the fiscal year	the government is projecting a 14 billion surplus
one building in palo alto may be damaged beyond repair	one building may be damaged
nutmeg industries lost 1 3\/4 to 14	nutmeg industries lost 1 3\/4
i would like to go back to 1970	i would like to go back
the two companies like fox already have their own tv stations	the two companies already have their own tv stations
guy f. atkinson added 7\/8 to 16 7\/8 on 335,700 shares	guy f. atkinson added 7\/8
revenue rose 24 % to 18.73 billion from 15.09 billion	revenue rose 24 %
they are nonetheless high on manville 's management	they are nonetheless high
as for the women they 're pathetic	they 're pathetic
how many shares will be around in 1995 he asked	how many shares will be around he asked
he intends to add to the litigation staff	he intends to add
there was n't any evidence of survivors	there was n't any evidence
he said he would convene hearings within two weeks	he said he would convene hearings
brawls between union factions still erupt at pemex installations	brawls still erupt
we 're on a tight budget says detroit edison 's carol roskind	we 're says detroit edison 's carol roskind
once they are in the building they stay	once they are they stay
it also raised hackles of the city 's tourism boosters	it also raised hackles
as liquidity on that market weakened prices fell sharply	as liquidity weakened prices fell sharply
people have been very respectful of each other	people have been very respectful
mr. schwarz 's father was a u.s. trust trustee until 1974	mr. schwarz 's father was a u.s. trust trustee
the bonds are all rated single-a by moody 's investors service inc	the bonds are all rated single-a
accepted bids ranged from 8.38 % to 8.395 %	accepted bids ranged
lawyers close to the case said they believed the ruling was unprecedented	lawyers close said they believed the ruling was unprecedented
about 1,150 employees are covered by the new agreement deere said	about 1,150 employees are covered deere said
before that he was an executive with a manufacturing concern	he was an executive
the day was saturated with the weight of its own impending history	the day was saturated
the most popular such shows focus on narrow national concerns	the most popular such shows focus
for the year however access lines in service have increased 5.5 %	however access lines have increased 5.5 %
the short-term outlook for adobe 's business however appears strong	the short-term outlook however appears strong
other furriers have also placed more weight on retailing	other furriers have also placed more weight
ratings he notes are subject to change	ratings he notes are subject
so they were surprised and very disappointed by prepayment	so they were surprised and very disappointed
analysts are downbeat about ibm 's outlook for the next few quarters	analysts are downbeat
and it left mixed signals for london	and it left mixed signals
the company plans to expand plant capacity 50 % by 1991	the company plans to expand plant capacity 50 %
but they attribute much of the weakness to customer inventory reductions	but they attribute much
the insured bonds are rated triple-a by moody 's and s&p	the insured bonds are rated triple-a
revenue rose 6 % to 2.79 billion from 2.63 billion	revenue rose 6 %
but that 's not the only problem for stocks	but that 's not the only problem
for the moment at least euphoria has replaced anxiety on wall street	at least euphoria has replaced anxiety
in over-the-counter trading yesterday moscom closed at 4.375 up 37.5 cents	yesterday moscom closed up 37.5 cents
indeed the insurance adjusters had already bolted out of the courtroom	indeed the insurance adjusters had already bolted
some have raised their cash positions to record levels	some have raised their cash positions
sales rose 4.8 % to 1.20 billion from 1.14 billion	sales rose 4.8 %
the measure also includes spending cuts and increases in federal fees	the measure also includes spending cuts and increases
the issue 's yield rose to 7.93 % from 7.88 %	the issue 's yield rose
in national over-the-counter trading yesterday lin rose 50 cents to 109.25	yesterday lin rose 50 cents
las vegas has seen nothing quite like it before	las vegas has seen nothing before
but unfortunately that segment is much smaller than the bread-and-butter flat-rolled steel	but unfortunately that segment is much smaller
