he 's sharp as a tack	he will be sharp as a tack
american suzuki 's previous agency keye\/donna\/pearlstein did n't participate	american suzuki 's previous agency keye\/donna\/pearlstein will not participate
for starters some people call ed and lorraine warren	for starters some people will call ed and lorraine warren
soon she was running the office	soon she will be running the office
we do n't think at this point anything needs to be said	we will not think at this point anything needs to be said
advancers on the big board lagged decliners 662 to 829	advancers on the big board will lag decliners 662 to 829
in major market activity treasury bond prices fell	in major market activity treasury bond prices will fall
kirschner medical fell 4 to 15	kirschner medical will fall 4 to 15
mr. eisenberg was senior executive vice president and chief operating officer	mr. eisenberg will be senior executive vice president and chief operating officer
clearly the judge has had his share of accomplishments	clearly the judge will have had his share of accomplishments
as usual the over-the-counter market 's biggest technology stocks were hardest hit	as usual the over-the-counter market 's biggest technology stocks will be hardest hit
comparable store sales for the quarter were up 7.3 %	comparable store sales for the quarter will be up 7.3 %
he succeeds the retiring james w. wilcock	he will succeed the retiring james w. wilcock
avco corp. received an 11.8 million army contract for helicopter engines	avco corp. will receive an 11.8 million army contract for helicopter engines
its developer is a polish american sasha muniak	its developer will be a polish american sasha muniak
but many newspapers are facing similar comparisons	but many newspapers will be facing similar comparisons
their ridicule of him is no substitute for argument	their ridicule of him will be no substitute for argument
i do n't think the bush administration has done anything he says	i will not think the bush administration has done anything he will say
defections burnouts and abduction deprogrammings kept member turnover high	defections burnouts and abduction deprogrammings will kept member turnover high
this has n't been kellogg co. 's year	this will not have been kellogg co. 's year
the new facility is expected to begin operations in early 1991	the new facility will be expected to begin operations in early 1991
honeywell said a second sale of yamatake-honeywell is still being negotiated	honeywell will say a second sale of yamatake-honeywell will be still being negotiated
the only significant commercial banana farmers in the u.s. are in hawaii	the only significant commercial banana farmers in the u.s. will be in hawaii
the managers do n't expect to complete the evaluation until nov. 30	the managers will not expect to complete the evaluation until nov. 30
conservatives have an important decision to make this fall	conservatives will have an important decision to make this fall
lin added 5\/8 to 110 5\/8 and mccaw lost 1\/4 to 41	lin will add 5\/8 to 110 5\/8 and mccaw will lose 1\/4 to 41
fannie mae makes a secondary market in home loans	fannie mae will make a secondary market in home loans
to watch your child die is an inhuman experience	to watch your child will die will be an inhuman experience
congressional leaders backed bush 's criticism of nicaragua 's ortega	congressional leaders will back bush 's criticism of nicaragua 's ortega
freight rates are bottoming out and starting to rebound	freight rates will be bottoming out and starting to rebound
sci tv 's six stations once were part of storer communications	sci tv 's six stations once will be part of storer communications
it 's just not cost efficient he says	it will be just not cost efficient he will say
4 impose standard accounting and administrative practices	4 will impose standard accounting and administrative practices
no doubt mr. dinkins has been a calming influence	no doubt mr. dinkins will have been a calming influence
dick darman call your office	dick darman will call your office
capital associates dropped 1 to 5 3\/8	capital associates will drop 1 to 5 3\/8
the minimum unit is 100,000	the minimum unit will be 100,000
ual 's stock fell 6.25 to 191.75	ual 's stock will fall 6.25 to 191.75
japanese banks are under political pressure as well the analyst said	japanese banks will be under political pressure as well the analyst will say
all administrative rights for the u.s. jointly controlled by both companies	all administrative rights for the u.s. will jointly controlled by both companies
travelers up to age 99 get a percentage discount matching their age	travelers up to age 99 will get a percentage discount matching their age
they lost the entertainment crown and they needed one	they will lose the entertainment crown and they will need one
the winter games outlook also is mixed	the winter games outlook also will be mixed
for that matter perhaps he fixed to the wrong currency	for that matter perhaps he will fix to the wrong currency
more banks are being hurt by arizona 's worsening real-estate slump	more banks will be being hurt by arizona 's worsening real-estate slump
in over-the-counter trading mgm grand was bid at 17.50 a share	in over-the-counter trading mgm grand will be bid at 17.50 a share
he describes a drowned corpse as esther williams	he will describe a drowned corpse as esther williams
chivas has an image of something you would savor rather than guzzle	chivas will have an image of something you will savor rather than guzzle
per-share net rose to 14.95 yen from 14.44 yen	per-share net will rise to 14.95 yen from 14.44 yen
he wants to see steelmakers more involved in computers and artificial intelligence	he will want to see steelmakers more involved in computers and artificial intelligence
but two-thirds of all poor americans were white	but two-thirds of all poor americans will be white
the advance felt more like a technical bounce he said	the advance will felt more like a technical bounce he will say
mr. staley replied legislation tends to be compromised	mr. staley will reply legislation will tend to be compromised
the value traded on the exchanges is close to 3 trillion	the value will traded on the exchanges will be close to 3 trillion
macmillan said berlitz intends to pay quarterly dividends on the stock	macmillan will say berlitz will intend to pay quarterly dividends on the stock
where had all the money come from	where had all the money will come from
operating profit dropped 46 % in its specialty flat-rolled steel segment	operating profit will drop 46 % in its specialty flat-rolled steel segment
edisto currently is the general partner of nrm	edisto currently will be the general partner of nrm
yet the rothschilds do n't deny an emotional element to the decision	yet the rothschilds will not deny an emotional element to the decision
the urging admittedly has been gentle	the urging admittedly will have been gentle
they serve the industries and the special-interest groups	they will serve the industries and the special-interest groups
he also mentioned increased capital investment by pacific bell for network improvements	he also will mention increased capital investment by pacific bell for network improvements
all other countries registered support below 50 %	all other countries will register support below 50 %
the shuttle is slated to return monday to california	the shuttle will be slated to return monday to california
the charter was approved by the ec commission on sept. 21	the charter will be approved by the ec commission on sept. 21
bush and deng are hoping that cooler heads prevail	bush and deng will be hoping that cooler heads will prevail
revenue rose to 590.7 million from 575.1 million	revenue will rise to 590.7 million from 575.1 million
slowing economies in some areas limit student choice	slowing economies in some areas will limit student choice
how could cbs get pushed into outbidding itself	how could cbs will get pushed into outbidding itself
the spot was scheduled to appear three times on cnn last night	the spot will be scheduled to appear three times on cnn last night
mr. paul denies phoning and gloating	mr. paul will deny phoning and gloating
most investment-grade bonds fell 3\/8 to 1\/2 point	most investment-grade bonds will fall 3\/8 to 1\/2 point
tandy 's decision is a second setback for u.s. memories	tandy 's decision will be a second setback for u.s. memories
such centrifugal egg breakers have been around since the 1890s	such centrifugal egg breakers will have been around since the 1890s
both issues are among the most popular with individual investors	both issues will be among the most popular with individual investors
working students she explains want some satisfaction	working students she will explain will want some satisfaction
he still has 1,143 shares according to sec files	he still will have 1,143 shares according to sec files
football is the no. 1 thing here	football will be the no. 1 thing here
among other changes the white house wants to	among other changes the white house will want to
analysts say additional investors transferred their assets into money funds this month	analysts will say additional investors will transfer their assets into money funds this month
conference committees are breeding grounds for mischief	conference committees will be breeding grounds for mischief
gerald f. seib and joe davidson in washington contributed to this article	gerald f. seib and joe davidson in washington will contribute to this article
in leipzig activists vowed to continue street protests to demand internal change	in leipzig activists will vow to continue street protests to demand internal change
the value of the transaction was n't disclosed	the value of the transaction will not be disclosed
cra is 49%-owned by rtz corp. of britain	cra will be 49%-owned by rtz corp. of britain
h&r block is one of the great success stories of u.s. business	h&r block will be one of the great success stories of u.s. business
you only have a privilege to practice	you only will have a privilege to practice
shearson lehman hutton began its coverage of the company with favorable ratings	shearson lehman hutton will begin its coverage of the company with favorable ratings
but he says cane & associates does n't receive referral fees	but he will say cane & associates will not receive referral fees
she manages it with the title of general-director	she will manage it with the title of general-director
the ratification follows a 23-day strike against the philadelphia-based company	the ratification will follow a 23-day strike against the philadelphia-based company
in national over-the-counter trading yesterday us facilities closed at 3.625 unchanged	in national over-the-counter trading yesterday us facilities will close at 3.625 unchanged
i can tell you that nobody quit over it	i can tell you that nobody will quit over it
even excluding the charge however net fell 5 %	even excluding the charge however net will fall 5 %
the big board 's mr. grasso said our systemic performance was good	the big board 's mr. grasso will say our systemic performance will be good
he declined to make a specific earnings estimate	he will decline to make a specific earnings estimate
that 's ok mr. sagan replies	that will be ok mr. sagan will reply
all prices are as of monday 's close	all prices will be as of monday 's close
the economy he noted moves the market not vice versa	the economy he will note will move the market not vice versa
the best odds are with your core franchise	the best odds will be with your core franchise
inflation is at record levels	inflation will be at record levels
some experts say markets are n't as volatile as widely assumed	some experts will say markets will not be as volatile as will widely assumed
while the book amply justifies its subtitle the title itself is dubious	while the book will amply justifies its subtitle the title itself will be dubious
mci traded as low as 41 3\/8 during the session	mci will trade as low as 41 3\/8 during the session
of course that was before ford 's latest move	of course that will be before ford 's latest move
in other words they treat you like a piece of meat	in other words they will treat you like a piece of meat
the board increased to 11 seats	the board will increase to 11 seats
the dollar gained against most foreign currencies	the dollar will gained against most foreign currencies
municipal mortgage-backed and investment-grade corporate bonds rose 1\/8 to 1\/2 point	municipal mortgage-backed and investment-grade corporate bonds will rise 1\/8 to 1\/2 point
the 49-nation organization meeting in malaysia called for tighter financial pressure immediately	the 49-nation organization meeting in malaysia will call for tighter financial pressure immediately
along the way there also are lots of romantic dalliances	along the way there also will be lots of romantic dalliances
panda motors is one such investment	panda motors will be one such investment
texans get reasonable car rental insurance	texans will get reasonable car rental insurance
reebok added that mr. fireman will assume the title of president	reebok will add that mr. fireman will assume the title of president
that is n't 51 % and the claim is n't documented	that will not be 51 % and the claim will not be documented
in last week 's house vote 41 republicans defected	in last week 's house vote 41 republicans will defect
if that takes money take it away from this discredited federal department	if that will take money will take it away from this discredited federal department
banks are continuing to go after individual investors despite falling interest rates	banks will be continuing to go after individual investors despite falling interest rates
analysts expect others to show a similar pattern	analysts will expect others to show a similar pattern
the board has 10 business days to respond	the board will have 10 business days to respond
the dollar also moved higher in tokyo	the dollar will also moved higher in tokyo
officials of ps of new hampshire could n't be reached for comment	officials of ps of new hampshire can n't be reached for comment
already it 's hard to get people	already it will be hard to will get people
you can shift out of reality with black and white he adds	you can shift out of reality with black and white he will add
estimated and actual results involving losses are omitted	estimated and actual results involving losses will be omitted
some smaller clients do n't seem to notice his switch	some smaller clients will not seem to notice his switch
analysts estimated that sales at u.s. stores declined in the quarter too	analysts will estimate that sales at u.s. stores will decline in the quarter too
we 're about to see if advertising works	we will be about to see if advertising will work
revenue grew 24 % to 614.5 million from 497.1 million	revenue will grow 24 % to 614.5 million from 497.1 million
it 's good exercise he says	it will be good exercise he will say
but in 1989 most senators have other ideas	but in 1989 most senators will have other ideas
the defendants could n't immediately be reached for comment	the defendants can n't immediately be reached for comment
reluctant advertisers try soft-sell spots	reluctant advertisers will try soft-sell spots
revenue rose 3 % to 9 million from 8.8 million	revenue will rise 3 % to 9 million from 8.8 million
bofors admits payments of 41 million to middlemen	bofors will admit payments of 41 million to middlemen
paribas is allianz 's lead french bank	paribas will be allianz 's lead french bank
state government is more typically split along republican-governor\/democratic-legislature lines than the reverse	state government will be more typically split along republican-governor\/democratic-legislature lines than the reverse
also participating in the issue was servifilm spain cinematografica s.a	will also participating in the issue will be servifilm spain cinematografica s.a
what 's more the seven mail personnel aboard were missing	what will be more the seven mail personnel aboard will be missing
so it 's a very mixed bag	so it will be a very mixed bag
yet another political scandal is racking japan	yet another political scandal will be racking japan
the business closed when the owner was murdered by robbers	the business will close when the owner will be murdered by robbers
as thanks the egg industry tried to break him	as thanks the egg industry will try to break him
most other states have enacted similar bans	most other states will have enacted similar bans
fidelity on saturday opened its 54 walk-in investor centers across the country	fidelity on saturday will open its 54 walk-in investor centers across the country
beyond that money managers and analysts see other problems	beyond that money managers and analysts will see other problems
i wish they were around 24 hours a day	i will wish they will be around 24 hours a day
revenue reached 1.1 billion from 1.01 billion	revenue will reach 1.1 billion from 1.01 billion
at the time the dow jones industrial average stood at about 2200	at the time the dow jones industrial average will stand at about 2200
but the strategy is n't helping much this time	but the strategy will not be helping much this time
the board increased by one to 26 members	the board will increased by one to 26 members
du pont as it happens has a potential substitute for cfcs	du pont as it will happen will have a potential substitute for cfcs
in either case the investor faces three possible outcomes	in either case the investor will face three possible outcomes
as that system grows larger computers may be needed	as that system will grow larger computers may be needed
the yield was 5.245 %	the yield will be 5.245 %
sales rose 13 % to 1.91 billion from 1.69 billion	sales will rise 13 % to 1.91 billion from 1.69 billion
the hart-scott filing is then reviewed and any antitrust concerns usually met	the hart-scott filing will then be reviewed and any antitrust concerns usually will be met
the closely held company has n't disclosed sales	the closely held company will not have disclosed sales
several cotton analysts said that the move appeared to be mostly technical	several cotton analysts will say that the move will appear to be mostly technical
it makes sense from a strategic standpoint	it will make sense from a strategic standpoint
the metal products concern currently has 7.2 million common shares outstanding	the metal products concern currently will have 7.2 million common shares outstanding
the anthers in these plants are difficult to clip off	the anthers in these plants will be difficult to clip off
economists had expected a 9.1 billion gap	economists will have expected a 9.1 billion gap
other funds hold a smattering of junk bonds too	other funds will hold a smattering of junk bonds too
admittedly the principle in the cases is the same	admittedly the principle in the cases will be the same
this time around they 're moving even faster	this time around they will be moving even faster
now neither side the u.s. nor mr. noriega has an easy out	now neither side the u.s. nor mr. noriega will have an easy out
emc manufactures data-storage systems for mainframes and minicomputers	emc will manufacture data-storage systems for mainframes and minicomputers
the lists total 654.5 million	the lists will total 654.5 million
santa fe also has 3.7 billion in debt	santa fe also will have 3.7 billion in debt
whittle is spending 150 million initially to launch the network	whittle will be spending 150 million initially to launch the network
hilton lost 20 % on friday paramount lost almost 11 %	hilton will lose 20 % on friday paramount will lose almost 11 %
the dividend had been five cents a share	the dividend will have been five cents a share
this says ms. peterson is what it 's all about	this will say ms. peterson will be what it will be all about
grain milk and meat come next	grain milk and meat will come next
the disk drives will doubtless sell well when they finally become available	the disk drives will doubtless sell well when they finally will become available
remember the dalkon shield and the early birth-control pills	will remember the dalkon shield and the early birth-control pills
