accounting problems raise more knotty issues	accounting problems raise issues
but sassy has a different spirit	but sassy has a spirit
but there were fewer price swings than expected	but there were price swings than expected
a concord spokeswoman called the suit unfounded but declined to comment further	a concord spokeswoman called the suit unfounded but declined to comment
sterling was quoted at 1.5820 up from 1.5795 late friday	sterling was quoted at 1.5820 from 1.5795 friday
the japanese government does n't allow this	the government does n't allow this
foreign bonds surged as the dollar weakened against most major currencies	bonds surged as the dollar weakened against currencies
those chains include bloomingdale 's which campeau recently said it will sell	those chains include bloomingdale 's which campeau said it will sell
no non-competitive tenders will be accepted	no tenders will be accepted
it did n't say by how much	it did n't say by how
just wait until you 're a bit older	wait until you 're a bit older
it is in the western interest to see mr. gorbachev succeed	it is in the interest to see mr. gorbachev succeed
but japanese bonds ended weaker	but bonds ended weaker
more than 700 people work in the gte building	than 700 people work in the gte building
the bank is now aggressively marketing retail services at its domestic branches	the bank is marketing services at its branches
a two-hour lunch break follows	a lunch break follows
the real tragedies occurred elsewhere as we soon found out	the tragedies occurred as we found out
stick some money in an interest-bearing account and watch it grow	stick some money in an account and watch it grow
beverly hills comes to suburban tokyo	beverly hills comes to tokyo
he was later shown on television fielding questions	he was shown on television fielding questions
analysts said they expect mccaw to escalate the bidding again	analysts said they expect mccaw to escalate the bidding
maybe it 's crazy he said	it 's crazy he said
the current contract pays the nfl 1.4 billion	the contract pays the nfl 1.4 billion
in fact mr. bush 's dance was more wiggle than waffle	in fact mr. bush 's dance was wiggle than waffle
julie amparano lopez in philadelphia also contributed to this article	julie amparano lopez in philadelphia contributed to this article
uneasiness about wall street was cited in several markets	uneasiness about wall street was cited in markets
they were absolutely killed slaughtered said one chicago-based options trader	they were killed slaughtered said one options trader
program trading amounted to 12.3 % of average daily volume in june	program trading amounted to 12.3 % of volume in june
the bakersfield supermarket went out of business last may	the bakersfield supermarket went out of business may
unlike most loans to china there was no chinese guarantor	unlike loans to china there was no guarantor
the minimum unit is 100,000	the unit is 100,000
creation of a new realistic u.s. policy is long overdue	creation of a u.s. policy is overdue
sen. cohen said the relationship has reverted to its pre-reagan character	sen. cohen said the relationship has reverted to its character
the pay 's the same and the duty 's lighter	the pay 's the and the duty 's lighter
jeanene page of north salt lake city utah likes the broader selection	jeanene page of north salt lake city utah likes the selection
up until now most stores have followed the same basic overseas strategy	up until now stores have followed the strategy
the stock traded as high as 10 this past summer	the stock traded high as 10 this summer
our international efforts were far greater than ever before	our efforts were greater than
new management can take several steps to reduce dishonesty	management can take steps to reduce dishonesty
power failures kept just seven of its 1,500 automated-teller machines off-line	power failures kept seven of its 1,500 machines off-line
mr. dozen knows these problems firsthand	mr. dozen knows these problems
typical of other experiments mr. oriani said his experiment was very erratic	typical of experiments mr. oriani said his experiment was erratic
so far as a price-conscious shopper manville has n't bought much	as a shopper manville has n't bought much
and he says block 's other businesses are growing although less consistently	and he says block 's businesses are growing although
for mr. jones it was just the beginning	for mr. jones it was the beginning
mr. shaffer takes primary responsibility for the electronic and technical-services group	mr. shaffer takes responsibility for the and technical-services group
it has always been so	it has been
excluding tax credits profit was 6 % below the second quarter	excluding tax credits profit was 6 % below the quarter
but analysts say sansui is a special case	but analysts say sansui is a case
and real estate usually has n't traded well under public ownership	and estate has n't traded under ownership
the 120-day exclusivity period was to expire yesterday	the exclusivity period was to expire yesterday
but even a little appeal has a lot of attraction these days	but a appeal has a lot of attraction these days
the announcement made after the close of trading caught analysts by surprise	the announcement made after the close of trading caught analysts
we designed a comprehensive program and we worked hard on it	we designed a program and we worked on it
michael maynard offered the world a faster way to break eggs	michael maynard offered the world a way to break eggs
that indicates speculators are betting a higher offer is in the wings	that indicates speculators are betting a offer is in the wings
tw 's junk bonds were n't as junk bonds go unusually weak	tw 's junk bonds were n't as junk bonds go weak
the carrier also seemed eager to place blame on its american counterparts	the carrier seemed eager to place blame on its counterparts
and most vacationers still prefer a warm climate for their winter excursions	and vacationers prefer a climate for their winter excursions
understandably smaller growth stocks have n't been in favor recently	growth stocks have n't been in favor
americans may not be so lucky the next time	americans may not be lucky the time
she added however it is not robust by any means	she added it is not robust by any means
investment-grade corporate bonds ended one to 1 1\/2 point lower	bonds ended one to 1 1\/2 point
home-sale losses rise but they 're often covered by employers	losses rise but they 're covered by employers
prices of european government bonds also rose as u.s. stocks declined	prices of government bonds rose as u.s. stocks declined
police detained more than 350 people	police detained than 350 people
along the way there also are lots of romantic dalliances	along the way there are lots of dalliances
closely held morris communications is based in augusta ga	held morris communications is based in augusta ga
after being inspected buildings with substantial damage were color-coded	after being inspected buildings with damage were color-coded
and navigation mixte has a huge hidden attraction	and navigation mixte has a attraction
ms. waleson is a free-lance writer based in new york	ms. waleson is a writer based in new york
ibm says it considers its shares a good investment	ibm says it considers its shares a investment
grain milk and meat come next	grain milk and meat come
risc technology speeds up a computer by simplifying the internal software	risc technology speeds up a computer by simplifying the software
in los angeles in our lean years we gave parties	in los angeles in our years we gave parties
everyone was hitting everyone else 's bid he said	everyone was hitting everyone 's bid he said
maybe they were hidden by all the people	they were hidden by all the people
showing up in court without being there	showing up in court without being
yet her intensity stops and starts with the music	her intensity stops and starts with the music
but gm 's results also illustrate the increasing diversity of its operations	but gm 's results illustrate the increasing diversity of its operations
the ventilation here is great	the ventilation is great
ms. jepson is a free-lance music writer in new york	ms. jepson is a music writer in new york
sales declined slightly to 5.17 billion	sales declined to 5.17 billion
now the firm says it 's at a turning point	the firm says it 's at a turning point
apogee was quoted in the over-the-counter market yesterday at 2 bid	apogee was quoted in the market yesterday at 2 bid
still encrypting corporate communications is only a partial remedy	encrypting communications is a remedy
not all funds have raised cash levels of course	all funds have raised cash levels of course
i am sure they will be going for a full bid	i am sure they will be going for a bid
but the specialty-material segment slowed somewhat and consumer products continued below expectations	but the segment slowed and consumer products continued below expectations
but again the themes get tangled in mr. mahfouz 's elliptical storytelling	but the themes get tangled in mr. mahfouz 's storytelling
the companies in question believe the analysts are too pessimistic	the companies in question believe the analysts are pessimistic
he also had to fight harder for credibility than his partner did	he had to fight for credibility than his partner did
few petitions however have actually delayed or scuttled mergers	petitions have delayed or scuttled mergers
intel also added 3\/8 to 33 7\/8	intel added 3\/8 to 33 7\/8
mr. secord 's performance was decidedly less inspiring	mr. secord 's performance was inspiring
in the fibers division profit remains weak largely because of persistent overcapacity	in the fibers division profit remains weak because of overcapacity
mr. lurie is currently co-chief executive	mr. lurie is co-chief executive
the dispute shows clearly the global power of japan 's financial titans	the dispute shows the power of japan 's titans
it was only a matter of time	it was a matter of time
now mr. broberg a lawyer claims he 'd play for free	mr. broberg a lawyer claims he 'd play for
chandler might have been predicting the course of his own career	chandler might have been predicting the course of his career
retail sales are plummeting while consumer prices still are rising	sales are plummeting while consumer prices are rising
the comparable year-earlier number was 56 million a spokesman said	the number was 56 million a spokesman said
at several different levels it 's a fascinating tale	at levels it 's a tale
under the program norfolk plans to acquire shares in the open market	under the program norfolk plans to acquire shares in the market
i 'm now monitoring every major account	i 'm monitoring every account
billing is included in a caller 's regular phone bill	billing is included in a caller 's phone bill
what we had was a real old-fashioned rally	what we had was a rally
i bought from willing shareholders	i bought from shareholders
average daily volume in s&p 500 futures last year was 44,877 contracts	volume in s&p 500 futures year was 44,877 contracts
junk bonds also recovered somewhat though trading remained stalled	junk bonds recovered though trading remained stalled
