heating oil and gasoline futures ended higher as well	heating oil and gasoline futures end higher as well
the offering will be dated oct. 31 and mature oct. 31	the offering is dated oct. 31 and mature oct. 31
this feels more like a one-shot deal	this feel more like a one-shot deal
the new york stock exchange under its own rules remained open	the new york stock exchange under its own rules remains open
could the collapse of i-880 have been prevented	could the collapse of i-880 has been prevented
further consolidations in the industry could follow	further consolidations in the industry can follow
it 's unlikely extracting the gas will cause subsidence says a spokeswoman	it is unlikely extracting the gas cause subsidence says a spokeswoman
the value of the transaction was n't disclosed	the value of the transaction is n't disclosed
people are shooting for a dream	people is shooting for a dream
the company did n't put out a public announcement	the company does n't put out a public announcement
