fear of aids hinders hiring at few hospitals	fear hinders hiring
i can tell you that nobody quit over it	i can tell you that nobody quit
ibm 's push is also unusual in its approach to marketing	ibm 's push is also unusual
mr. byrum and ms. smith could n't be reached for comment	mr. byrum and ms. smith could n't be reached
sales declined 10 % to 251.2 million from 278.7 million	sales declined 10 %
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the atlanta-based chemical manufacturer said lower prices hurt margins
the exclusion would apply to assets sold after oct. 1 1989	the exclusion would apply
newly acquired assets would get a bigger break than those currently held	newly acquired assets would get a bigger break
senators are focusing on making a capital-gains differential permanent	senators are focusing
the most pressing problem was the suspension of options trading	the most pressing problem was the suspension
meanwhile the brokerage firms in san francisco were trying to cope	meanwhile the brokerage firms were trying to cope
that should happen by today he said	that should happen he said
also most of the telecommunications equipment was out	also most was out
we are seeing such exercises today in fact	we are seeing such exercises today
interest expense in the 1988 third quarter was 75.3 million	interest expense was 75.3 million
in congress lawmakers already are looking for ways to add relief funds	lawmakers already are looking
twenty-five trucks capable of cooking food were dispatched from other states	twenty-five trucks capable were dispatched
still some aid is moving westward from washington almost immediately	still some aid is moving westward almost immediately
the agency plans to announce specific relief procedures in the coming days	the agency plans to announce specific relief procedures
the i-880 section had completed the first phase of the retrofitting	the i-880 section had completed the first phase
laurie mcginley contributed to this article	laurie mcginley contributed
silicon valley heaved a sigh of relief yesterday	silicon valley heaved a sigh yesterday
their machine tools are even bolted to the shop floor	their machine tools are even bolted
computer makers were scrambling to help customers recover from the disaster	computer makers were scrambling to help customers recover
digital also said it has dispatched teams of technicians to california	digital also said it has dispatched teams
john r. wilke contribued to this article	john r. wilke contribued
the protesters point out that galileo also could crash to earth then	the protesters point out that galileo also could crash then
the successful launch continues a remarkable recovery in the u.s. space-science program	the successful launch continues a remarkable recovery
not all of nasa 's space-science work will be so auspicious though	not all will be so auspicious though
sales rose to 406 million from 356 million the year earlier	sales rose
one of those was in hollister calif. near the earthquake 's epicenter	one was
the slack absorbs the pulling strain generated by an earthquake	the slack absorbs the pulling strain generated
officials expect difficulty routing traffic through downtown san francisco	officials expect difficulty routing traffic
most of the telephone problems in the immediate aftermath stemmed from congestion	most stemmed
mr. bandler puts traffic volume at 10 to 50 times normal	mr. bandler puts traffic volume
lone star 's san francisco facilities were n't damaged in the quake	lone star 's san francisco facilities were n't damaged
the money spent on repairs will be counted as a plus	the money spent will be counted
about 20 other deaths were also attributed to the earthquake	about 20 other deaths were also attributed
her parents lost everything in the 1906 earthquake	her parents lost everything
now we realize what our mothers must have gone through she says	now we realize what our mothers must have gone she says
revenue slipped 4.6 % to 835 million from 876 million	revenue slipped 4.6 %
revenue was flat at 2.59 billion	revenue was flat
the offer expired at 12:01 a.m. yesterday	the offer expired yesterday
tendered shares not purchased will be returned to holders	tendered shares not purchased will be returned
in new york stock exchange composite trading dayton rose 1 to 61.125	dayton rose 1
both men were also relieved of their duties yesterday	both men were also relieved yesterday
clearly the central figure in this process is egon krenz	clearly the central figure is egon krenz
moreover both men have hewn to a similar hard-line philosophy	moreover both men have hewn
however mr. krenz also has a reputation for being politically savvy	however mr. krenz also has a reputation
in recent days mr. krenz has sought to project a kinder image	mr. krenz has sought to project a kinder image
the selection of mr. krenz may also disappoint moscow	the selection may also disappoint moscow
by late 1988 they were banning soviet publications	they were banning soviet publications
politburo member joachim herrman confessed to a grave concern over hungarian democracy	politburo member joachim herrman confessed
one of their pastors has envisioned a new utopia of creative socialism	one has envisioned a new utopia
it was only a matter of time	it was only a matter
however inflation for 1990 was seen slowing to 4.5 %	however inflation was seen slowing
total operating expenses increased 3.5 % to 2.78 billion from 2.69 billion	total operating expenses increased 3.5 %
the announcement made after the close of trading caught analysts by surprise	the announcement made caught analysts
the latest quarter includes a 42.7 million addition to loan-loss reserves	the latest quarter includes a 42.7 million addition
the latest quarter included a 6.6 million write-down of investments	the latest quarter included a 6.6 million write-down
next year may see a drop of one percentage point	next year may see a drop
two cans cost 89 cents during the drought	two cans cost 89 cents
we 're on a tight budget says detroit edison 's carol roskind	we 're says detroit edison 's carol roskind
christmas shoppers find a helping hand from some catalog companies	christmas shoppers find a helping hand
about 190 million were offered through shearson lehman hutton inc	about 190 million were offered
j.p. morgan securities inc. is offering the remaining 10 million of notes	j.p. morgan securities inc. is offering the remaining 10 million
the notes are rated mig-1 by moody 's investors service inc	the notes are rated mig-1
standard & poor 's corp. has them under review	standard & poor 's corp. has them
the offering series 1989-83 is backed by fannie mae 9 % securities	the offering series 1989-83 is backed
the offering series 1989-84 is backed by fannie mae 9 % securities	the offering series 1989-84 is backed
initial interest rate set at 0.375 point over three-month libor	initial interest rate set
subsequent margins set by agreement between natwest and merrill	subsequent margins set
the issue was rated single-b-2 by moody 's and single-b by s&p	the issue was rated single-b-2 and single-b
all parts of the issue are callable at any time at par	all parts are callable
continental airlines is a unit of texas air corp	continental airlines is a unit
but put her behind a shopping cart and she turns ruthless	but put her and she turns ruthless
but i do n't want any of that oil for my grandkids	but i do n't want any
clearly people like mrs. lombardi are giving marketers fits	clearly people are giving marketers fits
about 47 % are loyal for one to five of the products	about 47 % are loyal
he simply ca n't stomach the taste of heinz she says	he simply ca n't stomach the taste she says
loyalty lags most for utilitarian products like trash bags and batteries	loyalty lags most
brand loyalty was stronger among older consumers in the journal survey	brand loyalty was stronger
it 's sort of loyalty by default	it 's sort of loyalty
mr. kim of j. walter thompson does n't think so	mr. kim does n't think so
rather they tend to have a set of two or three favorites	rather they tend to have a set
advertisers attribute this shared loyalty to the striking similarity among brands	advertisers attribute this shared loyalty
consider for example what happened to maxwell house coffee	consider what happened
the best odds are with your core franchise	the best odds are
in addition power failures prevented its package-sorting facilities from operating causing delays	power failures prevented its package-sorting facilities causing delays
but service on the line is expected to resume by noon today	but service is expected to resume
the highway system is screwed up by the earthquake mr. engelken said	the highway system is screwed up mr. engelken said
we 're in the dark he said	we 're he said
the less-rigorous senate version would defer the deductibility for roughly five years	the less-rigorous senate version would defer the deductibility
the announcement came after the market 's close	the announcement came
the move by ibm was n't exactly a surprise	the move was n't exactly a surprise
we view it as a good long-term investment the spokesman said	we view it the spokesman said
in the short term the move is likely to have little effect	the move is likely to have little effect
the mounting risks did not go unobserved even in the mid-1980s	the mounting risks did not go unobserved
but this is not where the rewards of junk financing were found	but this is not where the rewards were found
the consequences of building empires with sand are showing up	the consequences are showing up
corporations need liquidity in the form of borrowed funds	corporations need liquidity
these are long-term richter readings on american capitalism	these are long-term richter readings
mr. cockburn is a columnist for the nation and la weekly	mr. cockburn is a columnist
all of a sudden it was back to square one	all it was back
