to the rest of us the case is a puzzle	to the rest of us the case was a puzzle
his credentials are excellent for the task	his credentials were excellent for the task
another contradictory message comes from businessland inc. a computer retailer	another contradictory message came from businessland inc. a computer retailer
i mean it is a normal adult relationship	i meant it was a normal adult relationship
his credibility is also on the line in the investment community	his credibility was also on the line in the investment community
its return so far this year has been a credible 21.71 %	its return so far this year had been a credible 21.71 %
sometimes repairs are out of the question	sometimes repairs were out of the question
an oil company finds a sideline in the microscopic world of yeast	an oil company found a sideline in the microscopic world of yeast
also rather than increase supplies they reduce them and encourage hoarding	also rather than increased supplies they reduced them and encourage hoarding
mrs. allen is a senior editor of insight magazine	mrs. allen was a senior editor of insight magazine
it depends on what happens	it depended on what happenned
it does n't mean anything it 's public-relations money	it did n't mean anything it was public-relations money
every witness receives a formal subpoena rep. gonzalez told him	every witness received a formal subpoena rep. gonzalez told him
the rest is of course history	the rest was of course history
traders are already buckling their seat belts	traders were already buckling their seat belts
these are long-term richter readings on american capitalism	these were long-term richter readings on american capitalism
should you really own stocks	should you really owned stocks
either way i have a problem with how quickly he 's changed	either way i had a problem with how quickly he was changed
it has been trying to improve its share of the residential market	it had been trying to improve its share of the residential market
that sometimes signals that they are laying plans to export corn	that sometimes signaled that they were laying plans to export corn
unease is widespread among exchange members	unease was widespread among exchange members
yet another political scandal is racking japan	yet another political scandal was racking japan
you can be wicked but not foolish says mr. mankiewicz	you could be wicked but not foolish said mr. mankiewicz
i am a devout catholic says mr. pignatelli a 40-year-old health officer	i was a devout catholic said mr. pignatelli a 40-year-old health officer
so far one test of restricting dual trading has worked well	so far one test of restricting dual trading had worked well
the judge they say was fiercely proud of his abilities and accomplishments	the judge they said was fiercely proud of his abilities and accomplishments
i 'm on my own land mr. pyszkiewicz says	i was on my own land mr. pyszkiewicz said
we 're talking real money	we were talking real money
but he adds i was not acting as a messenger	but he added i was not acting as a messenger
eight years i 've had it	eight years i 'ved had it
the remainder expect a downturn to begin sometime in	the remainder expected a downturn to begin sometime in
after 25 years in city politics david dinkins remains an enigma	after 25 years in city politics david dinkins remained an enigma
it 's not clear whether aska plans to buy more shares	it was not clear whether aska planned to buy more shares
mr. cockburn is a columnist for the nation and la weekly	mr. cockburn was a columnist for the nation and la weekly
she notes that she also stresses professionalism during her weekly visits	she noted that she also stressed professionalism during her weekly visits
that 's also the day of the gubernatorial election	that was also the day of the gubernatorial election
the daily volume for treasury securities is about 110 billion	the daily volume for treasury securities was about 110 billion
to reinforce employees ' dedication mr. smith pays well	to reinforce employees ' dedication mr. smith paid well
in coming years mr. cathcart says kidder is gon na hum	in coming years mr. cathcart said kidder was gon na hum
i 'm out of bed	i was out of bed
still some aid is moving westward from washington almost immediately	still some aid was moving westward from washington almost immediately
the offering series 1989-86 is backed by fannie mae 9 % securities	the offering series 1989-86 was backed by fannie mae 9 % securities
her share decreases but only slightly	her share decreased but only slightly
the stories are rubbish a british air spokesman said	the stories were rubbish a british air spokesman said
this is n't a technology issue but an attitude issue he says	this was n't a technology issue but an attitude issue he said
he says he spent 300 million on his art business this year	he said he spent 300 million on his art business this year
we cruise toward another set of pilings	we cruised toward another set of pilings
advertisers already are balking at higher prices	advertisers already were balking at higher prices
maidenform says it is very profitable but declines to provide specifics	maidenform said it was very profitable but declines to provide specifics
yet these purchases can be misleading	yet these purchases could be misleading
that 's four times as fast as the 386	that was four times as fast as the 386
it 's an unrealistic expectation	it was an unrealistic expectation
the issue is n't age age is just a number	the issue was n't age age was just a number
the same factors limiting demand for office space have affected retailing	the same factors limiting demand for office space had affected retailing
all the figures are adjusted to remove usual seasonal patterns	all the figures were adjusted to remove usual seasonal patterns
we will only deal with clients on the phone he says	we dealt with clients on the phone only he said
if that takes money take it away from this discredited federal department	if that took money took it away from this discredited federal department
lloyd 's has lost control of the situation he says	lloyd 's had lost control of the situation he said
yet mr. rosen has turned the import phenomenon to his advantage	yet mr. rosen had turned the import phenomenon to his advantage
but as you may know things are not going well for violetta	but as you may know things were not going well for violetta
hugely popular it is far more flexible than straight whole life	hugely popular it was far more flexible than straight whole life
and much home-equity credit is used conservatively	and much home-equity credit was used conservatively
so developers are saying they will look into distressed properties	so developers were saying they looked into distressed properties
the anc vows to keep up pressure on the government	the anc vowed to keep up pressure on the government
i still say do n't look down	i still said did n't look down
we do n't consider that ambulance chasing	we did n't consider that ambulance chasing
other forms of red tape are more pervasive	other forms of red tape were more pervasive
that 's what they 're after	that was what they were after
he taught me how to play like a gypsy jokes the musician	he taught me how to play like a gypsy joked the musician
for months the resistance has been defenseless against air attack	for months the resistance had been defenseless against air attack
i have never had as many calls as i had this morning	i had never had as many calls as i had this morning
most of us know a sucker	most of us knew a sucker
i guess i was naive he said	i guessed i was naive he said
other tax benefits probably will be restored and created	other tax benefits probably bed restored and created
it has three u.s. branches	it had three u.s. branches
but it has n't worked out that way	but it had n't worked out that way
california 's insurance commissioner does n't hold hearings on acquisition applications	california 's insurance commissioner did n't hold hearings on acquisition applications
mr. bandow is a cato institute fellow	mr. bandow was a cato institute fellow
the manuevering illustrates an emerging republican donnybrook pacified since the early 1980s	the manuevering illustrated an emerging republican donnybrook pacified since the early 1980s
the trend is making proponents less optimistic a tax cut will pass	the trend was making proponents less optimistic a tax cut passed
other funds have recently sold weak junk bonds to raise cash	other funds had recently sold weak junk bonds to raise cash
the quarter was terrible and the future looks anything but encouraging	the quarter was terrible and the future looked anything but encouraging
mr. lescaze is foreign editor of the journal	mr. lescaze was foreign editor of the journal
the lists total 654.5 million	the lists totaled 654.5 million
the dutch utility firm serves the amsterdam and utrecht areas	the dutch utility firm served the amsterdam and utrecht areas
the issue is rated single-a-1 by moody 's and single-a-plus by s&p	the issue was ratted single-a-1 by moody 's and single-a-plus by s&p
when a company realizes that it 's hard to go with wang	when a company realized that it was hard to go with wang
ski promotions have traditionally avoided the touchy issue of safety	ski promotions had traditionally avoided the touchy issue of safety
i do n't subsidize anyone	i did n't subsidize anyone
there are a lot of them and they have property	there were a lot of them and they had property
the only significant commercial banana farmers in the u.s. are in hawaii	the only significant commercial banana farmers in the u.s. were in hawaii
their compounding effect is also alluring	their compounding effect was also alluring
the fares are code-named hugo compassion and virgin islands aid	the fares were code-named hugo compassion and virgin islands aid
once somebody eats one they get hooked	once somebody ate one they got hooked
now it 's on the fence	now it was on the fence
it helps to be male	it helped to be male
the farmer stands to go	the farmer stood to go
sometimes says his wife we 're happy about that	sometimes said his wife we were happy about that
he succeeds paul j. montle 42 who will remain chairman	he succeeded paul j. montle 42 who remained chairman
portrait studios have also latched onto the trend	portrait studios had also latched onto the trend
some funds are posting yields far higher than the average	some funds were posting yields far higher than the average
he can live with little pleasures	he could live with little pleasures
fund managers for their part defend their use of leverage	fund managers for their part defended their use of leverage
if a client needs prejudiced jurors the firm will help find them	if a client needed prejudiced jurors the firm helped found them
oranjemund the mine headquarters is a lonely corporate oasis of 9,000 residents	oranjemund the mine headquarters was a lonely corporate oasis of 9,000 residents
west german government officials and western analysts are doubtful	west german government officials and western analysts were doubtful
american institutional investors have never had a large appetite for japanese equities	american institutional investors had never had a large appetite for japanese equities
not that oil suddenly is a sure thing again	not that oil suddenly was a sure thing again
but the scope of seagram 's chivas promotion sets it apart	but the scope of seagram 's chivas promotion set it apart
i view this as a building	i viewed this as a building
lloyd 's vast trading hall houses a warren of well-polished desks	lloyd 's vast trading hall housed a warren of well-polished desks
waxman sells a variety of hardware products for the home repair market	waxman sold a variety of hardware products for the home repair market
assume that someone caught in the jam has a heart attack	assumed that someone caught in the jam had a heart attack
you know what the law of averages is do n't you	you knew what the law of averages was do n't you
the companies are automotive-emissions-testing concerns	the companies were automotive-emissions-testing concerns
but the savings will be minuscule	but the savings bed minuscule
in the long run the stock prices will go up	in the long run the stock prices went up
now the ambivalent middle a moral majority of sorts is reasserting itself	now the ambivalent middle a moral majority of sorts was reasserting itself
that 's usually how long it takes for the temblors to pass	that was usually how long it took for the temblors to pass
the round-trip fare to havana is 410 irish punts 578	the round-trip fare to havana was 410 irish punts 578
more troubling for mr. dinkins is his record in personal accounting	more troubling for mr. dinkins was his record in personal accounting
we keep wondering what mr. gates wanted to say	we kept wondering what mr. gates wanted to say
it expects any impact on its business to be slight	it expected any impact on its business to be slight
individual investors are still angry about program trading mr. quackenbush says	individual investors were still angry about program trading mr. quackenbush said
where 's the guy who can say enough is enough	where was the guy who could say enough is enough
continental airlines is a unit of texas air corp	continental airlines was a unit of texas air corp
these groups constitute up to 10 % of its work force	these groups constituted up to 10 % of its work force
but its quota has been as high as 6.9 % in 1984	but its quota had been as high as 6.9 % in 1984
the suit which seeks class-action status was filed in delaware chancery court	the suit which seeked class-action status was filed in delaware chancery court
and you are there sort of	and you bed there sort of
for average east germans mr. krenz remains a puzzle	for average east germans mr. krenz remained a puzzle
here is the commerce department 's latest report on personal income	here was the commerce department 's latest report on personal income
no such statement appears on the tapes	no such statement appeared on the tapes
the computers will display stock prices selected by users	the computers displayed stock prices selected by users
those days are over now he believes	those days were over now he believed
hot topaz sparks regulator jeweler concern over import of irradiated stones	hot topaz sparked regulator jeweler concern over import of irradiated stones
it is 38.5 % owned by canadian express another holding company	it was 38.5 % owned by canadian express another holding company
but i do n't think we 're at that point yet	but i did n't think we were at that point yet
in japan about 1 % are linked	in japan about 1 % were linked
but he says he would prefer to get nominations from rank-and-file folks	but he said he would prefer to get nominations from rank-and-file folks
and today many of their children grandchildren and great-grandchildren remain on welfare	and today many of their children grandchildren and great-grandchildren remained on welfare
banks are continuing to go after individual investors despite falling interest rates	banks were continuing to go after individual investors despite falling interest rates
both westwood brick and westwood group are based in boston	both westwood brick and westwood group were based in boston
this heavy outside support for the worst has undermined better moderate leaders	this heavy outside support for the worst had undermined better moderate leaders
food is the reformer 's top priority the key to popular support	food was the reformer 's top priority the key to popular support
while this theory is exceedingly simple it appears to explain several things	while this theory was exceedingly simple it appeared to explain several things
the chicago exchanges also are working on such a device	the chicago exchanges also were working on such a device
you can drive piles on it and build on it	you could drive piles on it and build on it
this could be the first major bankruptcy-law proceeding for kkr he adds	this could be the first major bankruptcy-law proceeding for kkr he added
national semiconductor is getting ferroelectric technology from krysalis corp. in albuquerque n.m	national semiconductor was getting ferroelectric technology from krysalis corp. in albuquerque n.m
wall street is understandably skeptical	wall street was understandably skeptical
bosses have big ears these days	bosses had big ears these days
denizens of london 's financial district are cushioning themselves for heavy blows	denizens of london 's financial district were cushioning themselves for heavy blows
it 's reassuring and it usually works	it was reassuring and it usually worked
i see congress as a last resort	i saw congress as a last resort
climate varies drastically due to natural causes said mr. thompson	climate varyed drastically due to natural causes said mr. thompson
about eight firms will get the lion 's share	about eight firms got the lion 's share
it 's the one-upsmanship of name-dropping that counts	it was the one-upsmanship of name-dropping that counted
seats currently are quoted at 410,000 bid 425,000 asked	seats currently were quoted at 410,000 bid 425,000 asked
but polish agriculture does possess one great asset already the private farmer	but polish agriculture did possess one great asset already the private farmer
about 800 have crossed the picket lines and returned to work	about 800 had crossed the picket lines and returned to work
the slack absorbs the pulling strain generated by an earthquake	the slack absorbed the pulling strain generated by an earthquake
but chairman gonzalez is a genuine maverick	but chairman gonzalez was a genuine maverick
the rise matches that of the dow jones industrials this year	the rise matched that of the dow jones industrials this year
consequently small business is taking more pro-active steps to counter mandated leaves	consequently small business was taking more pro-active steps to counter mandated leaves
on the big board crawford & co. atlanta cfd begins trading today	on the big board crawford & co. atlanta cfd began trading today
it 's a quiet retreat said mr. howley	it was a quiet retreat said mr. howley
by contrast surgical abortion is 99 % effective	by contrast surgical abortion was 99 % effective
the fund 's purpose is to provide quick and adequate relief	the fund 's purpose was to provide quick and adequate relief
french state-owned rhone-poulenc s.a. holds 51 % of merieux	french state-owned rhone-poulenc s.a. held 51 % of merieux
hers is a hand that will test the mettle of her audiences	hers was a hand that tested the mettle of her audiences
bloomingdale 's does an estimated 1.2 billion in annual sales	bloomingdale 's did an estimated 1.2 billion in annual sales
some congressional leaders intend to continue to fight for independent strike forces	some congressional leaders intended to continue to fight for independent strike forces
local pollution problems require cheap energy and capital for their solution	local pollution problems required cheap energy and capital for their solution
all operations have stopped he said	all operations had stopped he said
the park is slated to open in 1992	the park was slated to open in 1992
the bank has been making adjustment loans for 10 years	the bank had been making adjustment loans for 10 years
art indexes track winners not losers	art indexes tracked winners not losers
i do n't like the sound of that	i did n't like the sound of that
but pemex managers are the ones most thrilled by the contract	but pemex managers were the ones most thrilled by the contract
a tractor his only mechanized equipment stands in front of the pigsty	a tractor his only mechanized equipment stood in front of the pigsty
the pentagon is a haunted house	the pentagon was a haunted house
under the current circumstances he says their scenario no longer seems unrealistic	under the current circumstances he said their scenario no longer seemed unrealistic
the obligation is totally unwarranted the statement said	the obligation was totally unwarranted the statement said
its maximum velocity is 72 mph	its maximum velocity was 72 mph
he sits down at the piano and plays	he sat down at the piano and plays
the diet plays a minor role compared with the powerful bureaucratic system	the diet played a minor role compared with the powerful bureaucratic system
easy eggs are pasteurized in a heat-using process	easy eggs were pasteurized in a heat-using process
volatility is here to stay	volatility was here to stay
a raft of new computer companies also has targeted this server market	a raft of new computer companies also had targeted this server market
by ignoring costs u.s. strategists abdicate their responsibility for hard decisions	by ignoring costs u.s. strategists abdicated their responsibility for hard decisions
productivity in japanese offices is relatively low	productivity in japanese offices was relatively low
mr. tait say he does n't blame lilly	mr. tait said he did n't blame lilly
she now lives with relatives in alabama	she now lived with relatives in alabama
telerate provides information about financial markets through an electronic network	telerate provided information about financial markets through an electronic network
it could be a long wait say some industry observers	it could be a long wait said some industry observers
steppenwolf needs the extra seats even more than the fly space	steppenwolf needed the extra seats even more than the fly space
why even 20 % of the republican vote is going to dinkins	why even 20 % of the republican vote was going to dinkins
the economy is crashing hard says an asian economist in beijing	the economy was crashing hard said an asian economist in beijing
large pockets of poverty still exist	large pockets of poverty still existed
rebuilding that team mr. lee predicted will take another 10 years	rebuilding that team mr. lee predicted took another 10 years
part of the answer lies in the nature of the industry	part of the answer lied in the nature of the industry
otherwise actual profit is compared with the 300-day estimate	otherwise actual profit was compared with the 300-day estimate
the venture will be based in indianapolis	the venture bed based in indianapolis
thus the leverage has amplified the funds ' portfolio losses	thus the leverage had amplified the funds ' portfolio losses
the r.h. macy & co department-store chain is n't for sale	the r.h. macy & co department-store chain was n't for sale
the bridge normally carries 250,000 commuters a day	the bridge normally carryed 250,000 commuters a day
these errata do not affect business programs he said	these errata did not affect business programs he said
on china 's turmoil it is a very unhappy scene he said	on china 's turmoil it was a very unhappy scene he said
he ticks off several major differences between now and two years ago	he ticked off several major differences between now and two years ago
here are two cases to illustrate	here were two cases to illustrate
we have sufficient cash flow to handle that he said	we had sufficient cash flow to handle that he said
it 's bad soil he says	it was bad soil he said
dwg is a holding company controlled by mr. posner	dwg was a holding company controled by mr. posner
he is negotiating a rich book contract to boot	he was negotiating a rich book contract to boot
the leader in real estate brand names is developer ara hovnanian	the leader in real estate brand names was developer ara hovnanian
prepayments much like mutual-fund purchases are pooled for investment	prepayments much like mutual-fund purchases were pooled for investment
the 150,000-square-foot plant will be constructed on a 55-acre site near dublin	the 150,000-square-foot plant bed constructed on a 55-acre site near dublin
now among communist reformers they are objects of envy	now among communist reformers they were objects of envy
they are more sophisticated this time	they were more sophisticated this time
details and camden are essential florio	details and camden were essential florio
japanese banks are under political pressure as well the analyst said	japanese banks were under political pressure as well the analyst said
in bombay stock market circles the buzzword is mega	in bombay stock market circles the buzzword was mega
marketers believe most americans wo n't make the convenience trade-off	marketers believed most americans wo n't make the convenience trade-off
we want to build and hold	we wanted to build and hold
the answer seems perfectly clear	the answer seemed perfectly clear
superconcentrates are n't entirely new for p&g	superconcentrates were n't entirely new for p&g
tradition is dictator at lloyd 's	tradition was dictator at lloyd 's
everyone falls in love with everyone else	everyone fell in love with everyone else
ms. de vries writes frequently about theater	ms. de vries wrote frequently about theater
shareholders are scheduled to vote on the transaction nov	shareholders were scheduled to vote on the transaction nov
but 93 % of tourists still come for gambling	but 93 % of tourists still came for gambling
expansion plans also include acquisitions in growing foreign markets	expansion plans also included acquisitions in growing foreign markets
that 's not fair they 're not all fat	that was not fair they were not all fat
in each show mancuso gets to unleash similar harangues	in each show mancuso got to unleash similar harangues
people are not apt to be self-conscious about the place or themselves	people were not apt to be self-conscious about the place or themselves
football is the no. 1 thing here	football was the no. 1 thing here
otherwise actual profit is compared with the 300-day estimate	otherwise actual profit was compared with the 300-day estimate
mr. peake is chairman of his own consulting company in englewood n.j	mr. peake was chairman of his own consulting company in englewood n.j
analysts predict the sales impact will linger	analysts predicted the sales impact lingered
moreover both men have hewn to a similar hard-line philosophy	moreover both men had hewn to a similar hard-line philosophy
we 've got to move quickly	we 'ved got to move quickly
unless he changes they lose said a democratic leadership aide	unless he changed they lost said a democratic leadership aide
why they wonder should it belong to the ec	why they wondered should it belonged to the ec
stanford mit and other utmosts will cost no less	stanford mit and other utmosts cost no less
it is payable dec. 10 to stock of record nov. 24	it was payable dec. 10 to stock of record nov. 24
already it 's hard to get people	already it was hard to got people
whittle has met some resistance	whittle had met some resistance
our competitors say we overbid them	our competitors said we overbid them
that is for the future	that was for the future
the appointments are effective nov. 1	the appointments were effective nov. 1
hoare govett is acting as the consortium 's investment bankers	hoare govett was acting as the consortium 's investment bankers
john blodgett agrees and he ought to know	john blodgett agreed and he ought to know
it is payable nov. 30 to units of record oct. 31	it was payable nov. 30 to units of record oct. 31
and he has worked to shed his raider image	and he had worked to shed his raider image
some drill-bit prices have risen 5 % in the past month	some drill-bit prices had risen 5 % in the past month
how could cbs get pushed into outbidding itself	how could cbs got pushed into outbidding itself
both issues are dated oct. 31	both issues were dated oct. 31
it is combing the town of 10,000 for about 200 extras	it was combing the town of 10,000 for about 200 extras
most of the 10 have big commodity-chemical operations	most of the 10 had big commodity-chemical operations
developments like this are hard to predict	developments like this were hard to predict
there are a lot of have and have-not markets	there were a lot of have and have-not markets
the initial spots will appear during morning and prime-time news shows	the initial spots appeared during morning and prime-time news shows
companies will continue to war over standards	companies continued to war over standards
one is the panic the earthquake in san francisco which is positive	one was the panic the earthquake in san francisco which was positive
when selling is so frenzied prices fall steeply and fast	when selling was so frenzied prices fell steeply and fast
ghost towns dot the namib dunes proving diamonds are n't forever	ghost towns dotted the namib dunes proving diamonds were n't forever
we wanted them to build a road here he says	we wanted them to build a road here he said
today the treasury will sell 10 billion of new two-year notes	today the treasury sold 10 billion of new two-year notes
certain details of the restructured facilities remain to be negotiated	certain details of the restructured facilities remained to be negotiated
we 're not making a killing but we had a good day	we were not making a killing but we had a good day
the work though sounds like muzak for spaceships	the work though sounded like muzak for spaceships
with friends like mr. sohmer do the feminists of hollywood need enemies	with friends like mr. sohmer do the feminists of hollywood needed enemies
unilever wo n't comment schering however denies the brand is for sale	unilever wo n't comment schering however denied the brand was for sale
mr. warren will remain on the company 's board	mr. warren remained on the company 's board
all these reports about him committing genocide are probably exaggerated anyway	all these reports about him committing genocide were probably exaggerated anyway
couple counseling grows to defuse stress	couple counseling grew to defuse stress
bally was not an unfriendly takeover he insists	bally was not an unfriendly takeover he insisted
we now know that the words were not always his own	we now knew that the words were not always his own
meanwhile more computer makers now are competing for the new business	meanwhile more computer makers now were competing for the new business
the conversion price is 9.58 a share	the conversion price was 9.58 a share
we 've got a lot to do he acknowledged	we 'ved got a lot to do he acknowledged
the repair shops are n't united however	the repair shops were n't united however
friday brings the final count on october auto sales	friday brought the final count on october auto sales
scientists also are exploring memory and perception with the new machines	scientists also were exploring memory and perception with the new machines
they have about seven candidates	they had about seven candidates
he says his son has n't paid for the shares	he said his son had n't paid for the shares
so far all the studies have concluded that ru-486 is safe	so far all the studies had concluded that ru-486 was safe
just wait for that tap-tap that thump-thump	just waited for that tap-tap that thump-thump
areas that are made of fill liquefy	areas that were made of fill liquefied
if you do n't you ca n't do your job	if you did n't you ca n't do your job
completion of the project is expected by mid-1992	completion of the project was expected by mid-1992
it 's just a strange feeling	it was just a strange feeling
an announcement is more likely next week though	an announcement was more likely next week though
she serves high russian tea at 5 p.m	she served high russian tea at 5 p.m
it 's too disruptive he says	it was too disruptive he said
