december palladium was off 1.55 an ounce at 137.20	december palladium will be off 1.55 an ounce at 137.20
i was woken up every hour 1:30 2:30 3:30 4:30	i will be woken up every hour 1:30 2:30 3:30 4:30
if you do n't you ca n't do your job	if you will not you ca n't do your job
october employment data also could turn out to be the most confusing	october employment data also can turn out to be the most confusing
the takeover mania also adds to volatility	the takeover mania also will add to volatility
mr. guber was raised in boston and educated in new york	mr. guber will be will raised in boston and educated in new york
but 93 % of tourists still come for gambling	but 93 % of tourists still will come for gambling
some hotels in the hurricane-stricken caribbean promise money-back guarantees	some hotels in the hurricane-stricken caribbean will promise money-back guarantees
those viewers find the show confusing	those viewers will find the show confusing
this cuts down greatly on labor mr. buchner said	this will cut down greatly on labor mr. buchner will say
i do n't think their customers would like it very much	i will not think their customers would like it very much
mr. zupan teaches at the university of southern california 's business school	mr. zupan will teach at the university of southern california 's business school
bond prices were barely higher	bond prices will be barely higher
the bill is expected to pass in congress next month	the bill will be expected to pass in congress next month
program trading amounted to 12.3 % of average daily volume in june	program trading will amount to 12.3 % of average daily volume in june
mr. bakes previously had a turn at running continental	mr. bakes previously will have a turn at running continental
the interviews took place two years ago	the interviews will take place two years ago
beverly hills comes to suburban tokyo	beverly hills will come to suburban tokyo
international proteins shares did n't trade yesterday on the american stock exchange	international proteins shares will not trade yesterday on the american stock exchange
seventeen percent reported their customers being robbed	seventeen percent will report their customers being robbed
if it had been he mighta hit it out	if it will have been he mighta hit it out
the company said it expects to release third-quarter results in mid-november	the company will say it will expect to release third-quarter results in mid-november
a lot of pent-up demand is gone	a lot of pent-up demand will be gone
mr. maynard says the ruling pushed his company into bankruptcy court	mr. maynard will say the ruling will push his company into bankruptcy court
designs call for an l-shaped structure with a playground in the center	designs will call for an l-shaped structure with a playground in the center
its attendance is off 23 % from six years ago	its attendance will be off 23 % from six years ago
prince henri is the crown prince and hereditary grand duke of luxembourg	prince henri will be the crown prince and hereditary grand duke of luxembourg
federal prosecutors are concluding fewer criminal cases with trials	federal prosecutors will be concluding fewer criminal cases with trials
northeast utilities ' plan proposes 5.5 % annual increases	northeast utilities ' plan will propose 5.5 % annual increases
chicago 's new school chief is the hard-nosed ted kimbrough	chicago 's new school chief will be the hard-nosed ted kimbrough
however mr. steinhardt says he 's comfortable holding usair as an investment	however mr. steinhardt will say he will be comfortable holding usair as an investment
favored ventures include media telecommunications and retailing	favored ventures will include media telecommunications and retailing
the good news is it 's not your fault	the good news will be it 's not your fault
and some movies seem to have been hurt by their inattention	and some movies will seem to have been hurt by their inattention
all these reports about him committing genocide are probably exaggerated anyway	all these reports about him committing genocide will be probably exaggerated anyway
the southfield mich.-based company earned 774,000 in the quarter last year	the southfield mich.-based company will earn 774,000 in the quarter last year
i 'm using it a lot she says	i will be using it a lot she will say
those chains include bloomingdale 's which campeau recently said it will sell	those chains will include bloomingdale 's which campeau recently will say it will sell
at painewebber inc. they are investment executives	at painewebber inc. they will be investment executives
the british shakeup was widely cited for the declines	the british shakeup will be widely cited for the declines
obviously we are looking at making economies across the board	obviously we will be looking at making economies across the board
texans can sniff a phony a mile away the narrator warns outsiders	texans can sniff a phony a mile away the narrator will warn outsiders
two years later mrs. aquino 's promise remains largely unfulfilled	two years later mrs. aquino 's promise will remain largely unfulfilled
in each show mancuso gets to unleash similar harangues	in each show mancuso will get to unleash similar harangues
it takes three months to turn copper concentrate into cathodes he said	it will take three months to turn copper concentrate into cathodes he will say
corporate due process appeals to management for a variety of reasons	corporate due process will appeals to management for a variety of reasons
the bank charged off 53 million in loans during the quarter	the bank will charge off 53 million in loans during the quarter
and he yelled out dolce dolce sweet sweet	and he will yell out dolce dolce sweet sweet
petroleum products prices also declined	petroleum products prices also will decline
dictation device 's saga plays back a lesson	dictation device 's saga will play back a lesson
mr. ehrlich predicted unprecedented famine by 1980	mr. ehrlich will predict unprecedented famine by 1980
fees from syndicating loans dropped 48 % to 21 million	fees from syndicating loans will drop 48 % to 21 million
sales increased 10 % to 2.65 billion from 2.41 billion	sales will increase 10 % to 2.65 billion from 2.41 billion
maine republican william cohen said the plan might violate the assassination ban	maine republican william cohen will say the plan might violate the assassination ban
that means huge travel bills	that will mean huge travel bills
but the man who built it has fallen	but the man who will build it will have fallen
among other things the brief cited insufficient evidence	among other things the brief will cite insufficient evidence
sotheby 's defends itself and mr. paul in the matter	sotheby 's will defend itself and mr. paul in the matter
a capital-gains tax cut plan has been worked out by senate republicans	a capital-gains tax cut plan will have been worked out by senate republicans
for the moment at least euphoria has replaced anxiety on wall street	for the moment at least euphoria will have replaced anxiety on wall street
the issue is rated single-a-1 by moody 's and single-a-plus by s&p	the issue will be will rated single-a-1 by moody 's and single-a-plus by s&p
motorola is in good company	motorola will be in good company
we have a major problem and that problem is volatility	we will have a major problem and that problem will be volatility
revenue rose 15 % to 534.3 million from 464.7 million	revenue will rise 15 % to 534.3 million from 464.7 million
other major players in intimate apparel apparently feel the same way	other major players in intimate apparel apparently will feel the same way
mercedes sold 82,348 cars in 1988	mercedes will sell 82,348 cars in 1988
analysts predict little or no near-term growth	analysts will predict little or no near-term growth
related roommates trim hospital bills	related roommates will trim hospital bills
surely the question is obvious	surely the question will be obvious
i have felt many aftershocks	i will have felt many aftershocks
which cars do americans favor most these days	which cars do americans will favor most these days
the maker of specialty chemicals has about 5.9 million shares outstanding	the maker of specialty chemicals will have about 5.9 million shares outstanding
sales fell 1.5 % to 884 million from 897.2 million	sales will fall 1.5 % to 884 million from 897.2 million
the deal would require approval by a majority of jaguar shareholders	the deal will require approval by a majority of jaguar shareholders
sales rose 8.4 % to 27.95 billion from 25.78 billion	sales will rise 8.4 % to 27.95 billion from 25.78 billion
what you then do is you make them think inappropriately	what you then will will be you will make them will think inappropriately
this is keeping the gold traders handcuffed	this will be keeping the gold traders handcuffed
says mr. steidtmann i 'm looking for a bi-polar christmas	will say mr. steidtmann i will be looking for a bi-polar christmas
while some automotive programs have been delayed they have n't been canceled	while some automotive programs will have been delayed they will not have been canceled
asked about that the other day he replied anti-semitic	asked about that the other day he will reply anti-semitic
otto wichterle a czech invented them in 1962	otto wichterle a czech will invent them in 1962
this market has been very badly damaged	this market will have been very badly damaged
there was selling pressure from everyone said one trader	there will be selling pressure from everyone will say one trader
pemex 's customers also are pleased with the company 's new spirit	pemex 's customers also will be pleased with the company 's new spirit
warnaco also owns warners another major intimate apparel maker	warnaco also will own warners another major intimate apparel maker
he probably has n't done it for the cash	he probably will not have done it for the cash
but the agency has n't yanked psyllium off store shelves	but the agency will not have yanked psyllium off store shelves
but a few funds have taken other defensive steps	but a few funds will have taken other defensive steps
here they are searching for a higher price	here they will be searching for a higher price
stephen mccartin mr. hunt 's attorney said his client welcomed the gamble	stephen mccartin mr. hunt 's attorney will say his client will welcome the gamble
mr. sung could n't be reached for comment	mr. sung can n't be reached for comment
but he wanted to pursue his own dream and he went	but he will want to pursue his own dream and he will go
consider for instance the very fat fowl known as federalized child care	will consider for instance the very fat fowl will known as federalized child care
but i would n't write off sir james or other potential bidders	but i will n't write off sir james or other potential bidders
for the giuliani forces it 's a conundrum	for the giuliani forces it will be a conundrum
volume was estimated at 800 million shares compared with 678 million tuesday	volume will be estimated at 800 million shares compared with 678 million tuesday
the city 's recovery from the earthquake was uneven	the city 's recovery from the earthquake will be uneven
the company rejected those past proposals	the company will reject those past proposals
it 's nothing dramatic just a routine sell-off	it will be nothing dramatic just a routine sell-off
but the shift has also been fueled by necessity	but the shift will have also been fueled by necessity
it wo n't be an earthshaking drop a weyerhaeuser spokesman says	it wo n't be an earthshaking drop a weyerhaeuser spokesman will say
disaster states are n't jumping to raise taxes for relief and recovery	disaster states will not be jumping to raise taxes for relief and recovery
woodbridge is a holding company owned by toronto 's thomson family	woodbridge will be a holding company will owned by toronto 's thomson family
stock prices finished about unchanged friday in quiet expiration trading	stock prices will finished about unchanged friday in quiet expiration trading
your story was tasteless and insensitive	your story will be tasteless and insensitive
mellon has 36.6 million shares outstanding	mellon will have 36.6 million shares outstanding
the nasdaq bank index rose 0.17 to 432.78	the nasdaq bank index will rise 0.17 to 432.78
still mrs. thatcher had once again gone against the grain	still mrs. thatcher will have once again gone against the grain
